CellID,Batch,Annotation,cell_id,Annotation_0305
CELL.1553,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1553,SCGNIN
CELL.1554,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1554,NTNG1EX
CELL.1555,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1555,CCKIN
CELL.1556,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1556,TLNBL
CELL.1557,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1557,NTNG1EX
CELL.1558,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1558,CMPN
CELL.1559,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1559,NTNG1EX
CELL.1560,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1560,CMPN
CELL.1561,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1561,CCKIN
CELL.1563,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1563,WNTEGC
CELL.1564,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1564,CMPN
CELL.1565,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1565,RIBEGC
CELL.1566,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1566,NTNG1EX
CELL.1567,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1567,CMPN
CELL.1568,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1568,CMPN
CELL.1569,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1569,MSN
CELL.1570,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1570,CMPN
CELL.1571,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1571,CP
CELL.1572,Adult_telencephalon_rep2_DP8400015234BLA3_1,SSTIN,1572,SSTIN
CELL.1573,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1573,NTNG1EX
CELL.1574,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1574,CMPN
CELL.1575,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1575,MSN
CELL.1576,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1576,MSN
CELL.1578,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1578,VLMC
CELL.1579,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1579,RIBEGC
CELL.1580,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1580,RIBEGC
CELL.1581,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1581,RIBEGC
CELL.1582,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1582,NTNG1EX
CELL.1583,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1583,RIBEGC
CELL.1584,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1584,VLMC
CELL.1585,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1585,RIBEGC
CELL.1586,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1586,WNTEGC
CELL.1587,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1587,CMPN
CELL.1588,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1588,CMPN
CELL.1589,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1589,CCKIN
CELL.1590,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1590,MSN
CELL.1591,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1591,SFRPEGC
CELL.1592,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1592,RIBEGC
CELL.1593,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1593,CMPN
CELL.1594,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1594,NTNG1EX
CELL.1595,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1595,NTNG1EX
CELL.1596,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1596,CMPN
CELL.1598,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1598,RIBEGC
CELL.1599,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1599,MSN
CELL.1600,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1600,CMPN
CELL.1601,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1601,MSN
CELL.1602,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1602,NTNG1EX
CELL.1603,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1603,NTNG1EX
CELL.1604,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1604,NTNG1EX
CELL.1605,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1605,CCKIN
CELL.1606,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1606,VLMC
CELL.1607,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1607,VLMC
CELL.1608,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1608,NTNG1EX
CELL.1609,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1609,CMPN
CELL.1610,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1610,MSN
CELL.1612,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1612,CMPN
CELL.1613,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1613,NTNG1EX
CELL.1614,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1614,CCKIN
CELL.1615,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1615,MSN
CELL.1616,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1616,TLNBL
CELL.1617,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1617,NTNG1EX
CELL.1618,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1618,NTNG1EX
CELL.1619,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1619,RIBEGC
CELL.1620,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1620,CMPN
CELL.1621,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1621,RIBEGC
CELL.1622,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1622,MSN
CELL.1623,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1623,RIBEGC
CELL.1624,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1624,RIBEGC
CELL.1625,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1625,CCKIN
CELL.1627,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1627,CCKIN
CELL.1628,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1628,RIBEGC
CELL.1629,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1629,NTNG1EX
CELL.1630,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1630,MSN
CELL.1631,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1631,SFRPEGC
CELL.1632,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1632,RIBEGC
CELL.1633,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1633,RIBEGC
CELL.1634,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1634,CCKIN
CELL.1635,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1635,MSN
CELL.1636,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1636,NTNG1EX
CELL.1637,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1637,CMPN
CELL.1638,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1638,CMPN
CELL.1639,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1639,RIBEGC
CELL.1640,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1640,RIBEGC
CELL.1641,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1641,RIBEGC
CELL.1642,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1642,NTNG1EX
CELL.1643,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1643,CCKIN
CELL.1645,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1645,CMPN
CELL.1646,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1646,CCKIN
CELL.1647,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1647,NTNG1EX
CELL.1648,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1648,NTNG1EX
CELL.1649,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1649,NTNG1EX
CELL.1650,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1650,CCKIN
CELL.1651,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1651,NTNG1EX
CELL.1652,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1652,CCKIN
CELL.1653,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1653,SCGNIN
CELL.1654,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1654,RIBEGC
CELL.1655,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1655,RIBEGC
CELL.1656,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1656,RIBEGC
CELL.1657,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1657,SCGNIN
CELL.1658,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1658,NTNG1EX
CELL.1659,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1659,NTNG1EX
CELL.1660,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1660,CCKIN
CELL.1661,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1661,TLNBL
CELL.1662,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1662,CMPN
CELL.1663,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1663,MSN
CELL.1664,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1664,SCGNIN
CELL.1665,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1665,NTNG1EX
CELL.1666,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1666,CMPN
CELL.1667,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1667,RIBEGC
CELL.1668,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1668,CCKIN
CELL.1669,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1669,NTNG1EX
CELL.1670,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1670,NTNG1EX
CELL.1671,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1671,RIBEGC
CELL.1672,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1672,CP
CELL.1673,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1673,CMPN
CELL.1674,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1674,CMPN
CELL.1675,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1675,RIBEGC
CELL.1677,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1677,RIBEGC
CELL.1678,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1678,CMPN
CELL.1679,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1679,MSN
CELL.1680,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1680,CCKIN
CELL.1681,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1681,RIBEGC
CELL.1682,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1682,WNTEGC
CELL.1683,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1683,MSN
CELL.1684,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1684,WNTEGC
CELL.1685,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1685,MSN
CELL.1686,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1686,NTNG1EX
CELL.1687,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1687,CMPN
CELL.1688,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1688,TLNBL
CELL.1689,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1689,CCKIN
CELL.1690,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1690,RIBEGC
CELL.1691,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1691,NTNG1EX
CELL.1692,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1692,RIBEGC
CELL.1694,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1694,MSN
CELL.1695,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1695,TLNBL
CELL.1696,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1696,RIBEGC
CELL.1697,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1697,VLMC
CELL.1698,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1698,RIBEGC
CELL.1699,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1699,SCGNIN
CELL.1700,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1700,NTNG1EX
CELL.1701,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1701,NTNG1EX
CELL.1702,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1702,NTNG1EX
CELL.1703,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1703,NTNG1EX
CELL.1704,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1704,CMPN
CELL.1705,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1705,MSN
CELL.1706,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1706,MSN
CELL.1707,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1707,MSN
CELL.1708,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1708,NTNG1EX
CELL.1709,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1709,RIBEGC
CELL.1711,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1711,RIBEGC
CELL.1712,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1712,CP
CELL.1713,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1713,CP
CELL.1714,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1714,RIBEGC
CELL.1715,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1715,RIBEGC
CELL.1716,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1716,CCKIN
CELL.1720,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1720,RIBEGC
CELL.1721,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1721,NTNG1EX
CELL.1722,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1722,SCGNIN
CELL.1723,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1723,CCKIN
CELL.1724,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1724,CCKIN
CELL.1725,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1725,MSN
CELL.1726,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1726,CCKIN
CELL.1727,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1727,RIBEGC
CELL.1728,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1728,RIBEGC
CELL.1729,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1729,RIBEGC
CELL.1730,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1730,WNTEGC
CELL.1731,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1731,NTNG1EX
CELL.1732,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1732,RIBEGC
CELL.1733,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1733,WNTEGC
CELL.1734,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1734,NTNG1EX
CELL.1735,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1735,RIBEGC
CELL.1736,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1736,CMPN
CELL.1737,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1737,CMPN
CELL.1739,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1739,NTNG1EX
CELL.1740,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1740,CMPN
CELL.1741,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1741,RIBEGC
CELL.1742,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1742,RIBEGC
CELL.1743,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1743,RIBEGC
CELL.1744,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1744,SFRPEGC
CELL.1745,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1745,MSN
CELL.1746,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1746,SFRPEGC
CELL.1747,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1747,CCKIN
CELL.1748,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1748,VLMC
CELL.1749,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1749,RIBEGC
CELL.1750,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1750,TLNBL
CELL.1751,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1751,NTNG1EX
CELL.1753,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1753,MSN
CELL.1754,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1754,SCGNIN
CELL.1755,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1755,NTNG1EX
CELL.1756,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1756,TLNBL
CELL.1757,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1757,MSN
CELL.1758,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1758,NTNG1EX
CELL.1759,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1759,CMPN
CELL.1760,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1760,MSN
CELL.1761,Adult_telencephalon_rep2_DP8400015234BLA3_1,SSTIN,1761,SSTIN
CELL.1762,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1762,SCGNIN
CELL.1763,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1763,CMPN
CELL.1764,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1764,RIBEGC
CELL.1765,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1765,CP
CELL.1766,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1766,CCKIN
CELL.1767,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1767,CCKIN
CELL.1768,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1768,MSN
CELL.1769,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1769,RIBEGC
CELL.1770,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1770,MSN
CELL.1771,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1771,VLMC
CELL.1772,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1772,RIBEGC
CELL.1773,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1773,CCKIN
CELL.1774,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1774,CCKIN
CELL.1775,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1775,NTNG1EX
CELL.1776,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1776,NTNG1EX
CELL.1777,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1777,TLNBL
CELL.1778,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1778,MSN
CELL.1779,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1779,CCKIN
CELL.1780,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1780,MSN
CELL.1782,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1782,WNTEGC
CELL.1783,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1783,SCGNIN
CELL.1784,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1784,VLMC
CELL.1785,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1785,RIBEGC
CELL.1786,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1786,MSN
CELL.1787,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1787,NTNG1EX
CELL.1788,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1788,CCKIN
CELL.1789,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1789,SCGNIN
CELL.1790,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1790,NTNG1EX
CELL.1791,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1791,NTNG1EX
CELL.1792,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1792,RIBEGC
CELL.1793,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1793,MSN
CELL.1794,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1794,RIBEGC
CELL.1795,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1795,RIBEGC
CELL.1796,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1796,NTNG1EX
CELL.1797,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1797,SFRPEGC
CELL.1798,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1798,NTNG1EX
CELL.1799,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1799,SCGNIN
CELL.1800,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1800,WNTEGC
CELL.1801,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1801,RIBEGC
CELL.1802,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1802,SFRPEGC
CELL.1804,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1804,SCGNIN
CELL.1805,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1805,NTNG1EX
CELL.1806,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1806,VLMC
CELL.1807,Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTRGC,1807,WNTEGC
CELL.1808,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,1808,SCGNIN
CELL.1809,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1809,NTNG1EX
CELL.1810,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1810,RIBEGC
CELL.1811,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1811,RIBEGC
CELL.1812,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1812,CCKIN
CELL.1813,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1813,CCKIN
CELL.1814,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1814,NTNG1EX
CELL.1815,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1815,RIBEGC
CELL.1816,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1816,CCKIN
CELL.1817,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1817,TLNBL
CELL.1818,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1818,TLNBL
CELL.1819,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1819,NTNG1EX
CELL.1820,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1820,RIBEGC
CELL.1821,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1821,MSN
CELL.1822,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1822,VLMC
CELL.1823,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1823,NTNG1EX
CELL.1824,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1824,NTNG1EX
CELL.1825,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1825,NTNG1EX
CELL.1826,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1826,NTNG1EX
CELL.1827,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,1827,CMPN
CELL.1828,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1828,SFRPEGC
CELL.1829,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1829,NTNG1EX
CELL.1830,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1830,NTNG1EX
CELL.1831,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1831,NTNG1EX
CELL.1832,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1832,RIBEGC
CELL.1833,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1833,SFRPEGC
CELL.1834,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1834,CCKIN
CELL.1835,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1835,MSN
CELL.1836,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1836,RIBEGC
CELL.1837,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1837,MSN
CELL.1838,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1838,CP
CELL.1839,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1839,NTNG1EX
CELL.1840,Adult_telencephalon_rep2_DP8400015234BLA3_1,DIPC,1840,TLNBL
CELL.1841,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1841,RIBEGC
CELL.1842,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1842,RIBEGC
CELL.1843,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,1843,CP
CELL.1844,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1844,NTNG1EX
CELL.1845,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,1845,NTNG1EX
CELL.1846,Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,1846,CCKIN
CELL.1847,Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPRGC,1847,SFRPEGC
CELL.1848,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,1848,RIBEGC
CELL.1849,Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,1849,MSN
