,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.3493,CELL.3493,0,Injury_20DPI_rep1_SS200000147BL_B4,3493,0,1799.0,9689.0,uninj,V,MSN,MSN
CELL.3494,CELL.3494,0,Injury_20DPI_rep1_SS200000147BL_B4,3494,0,1797.0,9721.0,uninj,V,MSN,MSN
CELL.3495,CELL.3495,0,Injury_20DPI_rep1_SS200000147BL_B4,3495,0,1799.0,10049.0,uninj,V,MSN,MSN
CELL.3496,CELL.3496,4,Injury_20DPI_rep1_SS200000147BL_B4,3496,12,1796.0,10513.0,uninj,V,VLMC,VLMC
CELL.3497,CELL.3497,0,Injury_20DPI_rep1_SS200000147BL_B4,3497,1,1800.0,9609.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3498,CELL.3498,0,Injury_20DPI_rep1_SS200000147BL_B4,3498,0,1798.0,9906.0,uninj,V,SCGNIN,SCGNIN
CELL.3499,CELL.3499,4,Injury_20DPI_rep1_SS200000147BL_B4,3499,6,1802.0,5485.0,inj,V,OBNBL,OBNBL
CELL.3500,CELL.3500,0,Injury_20DPI_rep1_SS200000147BL_B4,3500,11,1798.0,6165.0,inj,V,VLMC,VLMC
CELL.3501,CELL.3501,0,Injury_20DPI_rep1_SS200000147BL_B4,3501,0,1797.0,9862.0,uninj,V,MSN,MSN
CELL.3502,CELL.3502,6,Injury_20DPI_rep1_SS200000147BL_B4,3502,6,1804.0,10472.0,uninj,V,OBNBL,OBNBL
CELL.3504,CELL.3504,4,Injury_20DPI_rep1_SS200000147BL_B4,3504,6,1803.0,5736.0,inj,V,OBNBL,OBNBL
CELL.3505,CELL.3505,9,Injury_20DPI_rep1_SS200000147BL_B4,3505,1,1800.0,6314.0,inj,V,RIPC2,RIPC3
CELL.3506,CELL.3506,2,Injury_20DPI_rep1_SS200000147BL_B4,3506,8,1810.0,8761.0,uninj,V,MPEX,MPEX
CELL.3507,CELL.3507,4,Injury_20DPI_rep1_SS200000147BL_B4,3507,6,1805.0,10196.0,uninj,V,OBNBL,OBNBL
CELL.3508,CELL.3508,1,Injury_20DPI_rep1_SS200000147BL_B4,3508,1,1806.0,6291.0,inj,V,DIPC,TLNBL
CELL.3510,CELL.3510,1,Injury_20DPI_rep1_SS200000147BL_B4,3510,10,1800.0,9080.0,uninj,V,WNTRGC,WNTEGC
CELL.3511,CELL.3511,1,Injury_20DPI_rep1_SS200000147BL_B4,3511,1,1802.0,9502.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3512,CELL.3512,0,Injury_20DPI_rep1_SS200000147BL_B4,3512,0,1809.0,9823.0,uninj,V,MSN,MSN
CELL.3514,CELL.3514,0,Injury_20DPI_rep1_SS200000147BL_B4,3514,0,1812.0,5929.0,inj,V,MSN,MSN
CELL.3515,CELL.3515,1,Injury_20DPI_rep1_SS200000147BL_B4,3515,1,1802.0,6347.0,inj,V,SFRPRGC,SFRPEGC
CELL.3516,CELL.3516,4,Injury_20DPI_rep1_SS200000147BL_B4,3516,6,1808.0,10157.0,uninj,V,OBNBL,OBNBL
CELL.3518,CELL.3518,0,Injury_20DPI_rep1_SS200000147BL_B4,3518,0,1810.0,6015.0,inj,V,MSN,MSN
CELL.3519,CELL.3519,2,Injury_20DPI_rep1_SS200000147BL_B4,3519,5,1811.0,8532.0,uninj,V,NPTXEX,NPTXEX
CELL.3520,CELL.3520,1,Injury_20DPI_rep1_SS200000147BL_B4,3520,10,1811.0,9131.0,uninj,V,WNTRGC,WNTEGC
CELL.3521,CELL.3521,3,Injury_20DPI_rep1_SS200000147BL_B4,3521,11,1809.0,6772.0,inj,V,VLMC,VLMC
CELL.3522,CELL.3522,4,Injury_20DPI_rep1_SS200000147BL_B4,3522,6,1810.0,5595.0,inj,V,OBNBL,OBNBL
CELL.3523,CELL.3523,0,Injury_20DPI_rep1_SS200000147BL_B4,3523,1,1815.0,6220.0,inj,V,DIPC,TLNBL
CELL.3524,CELL.3524,3,Injury_20DPI_rep1_SS200000147BL_B4,3524,5,1814.0,6857.0,inj,V,NPTXEX,NPTXEX
CELL.3525,CELL.3525,6,Injury_20DPI_rep1_SS200000147BL_B4,3525,12,1809.0,7701.0,inj,V,VLMC,VLMC
CELL.3526,CELL.3526,2,Injury_20DPI_rep1_SS200000147BL_B4,3526,5,1811.0,8849.0,uninj,V,NPTXEX,NPTXEX
CELL.3527,CELL.3527,2,Injury_20DPI_rep1_SS200000147BL_B4,3527,2,1813.0,9016.0,uninj,V,Immature EX,TLNBL
CELL.3528,CELL.3528,4,Injury_20DPI_rep1_SS200000147BL_B4,3528,6,1803.0,5550.0,inj,V,OBNBL,OBNBL
CELL.3529,CELL.3529,3,Injury_20DPI_rep1_SS200000147BL_B4,3529,3,1811.0,6922.0,inj,V,CMPN,CMPN
CELL.3530,CELL.3530,1,Injury_20DPI_rep1_SS200000147BL_B4,3530,1,1807.0,6391.0,inj,V,SFRPRGC,SFRPEGC
CELL.3531,CELL.3531,6,Injury_20DPI_rep1_SS200000147BL_B4,3531,9,1813.0,8326.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.3532,CELL.3532,2,Injury_20DPI_rep1_SS200000147BL_B4,3532,2,1813.0,9050.0,uninj,V,Immature EX,TLNBL
CELL.3533,CELL.3533,4,Injury_20DPI_rep1_SS200000147BL_B4,3533,6,1812.0,10121.0,uninj,V,OBNBL,OBNBL
CELL.3534,CELL.3534,5,Injury_20DPI_rep1_SS200000147BL_B4,3534,7,1813.0,4882.0,inj,V,VLMC,VLMC
CELL.3537,CELL.3537,4,Injury_20DPI_rep1_SS200000147BL_B4,3537,6,1814.0,10359.0,uninj,V,OBNBL,OBNBL
CELL.3538,CELL.3538,6,Injury_20DPI_rep1_SS200000147BL_B4,3538,12,1813.0,10788.0,uninj,V,OLIGO,OLIGO
CELL.3539,CELL.3539,1,Injury_20DPI_rep1_SS200000147BL_B4,3539,10,1813.0,6634.0,inj,V,WNTRGC,WNTEGC
CELL.3540,CELL.3540,1,Injury_20DPI_rep1_SS200000147BL_B4,3540,1,1808.0,9409.0,uninj,V,DIPC,TLNBL
CELL.3541,CELL.3541,0,Injury_20DPI_rep1_SS200000147BL_B4,3541,1,1809.0,9634.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3542,CELL.3542,2,Injury_20DPI_rep1_SS200000147BL_B4,3542,5,1822.0,7074.0,inj,V,NPTXEX,NPTXEX
CELL.3543,CELL.3543,6,Injury_20DPI_rep1_SS200000147BL_B4,3543,11,1819.0,8272.0,uninj,V,VLMC,VLMC
CELL.3544,CELL.3544,0,Injury_20DPI_rep1_SS200000147BL_B4,3544,0,1817.0,9799.0,uninj,V,MSN,MSN
CELL.3545,CELL.3545,1,Injury_20DPI_rep1_SS200000147BL_B4,3545,11,1822.0,6741.0,inj,V,VLMC,VLMC
CELL.3547,CELL.3547,0,Injury_20DPI_rep1_SS200000147BL_B4,3547,0,1826.0,9741.0,uninj,V,MSN,MSN
CELL.3548,CELL.3548,0,Injury_20DPI_rep1_SS200000147BL_B4,3548,0,1823.0,9846.0,uninj,V,MSN,MSN
CELL.3549,CELL.3549,0,Injury_20DPI_rep1_SS200000147BL_B4,3549,6,1823.0,5886.0,inj,V,OBNBL,OBNBL
CELL.3550,CELL.3550,4,Injury_20DPI_rep1_SS200000147BL_B4,3550,6,1818.0,5679.0,inj,V,OBNBL,OBNBL
CELL.3551,CELL.3551,1,Injury_20DPI_rep1_SS200000147BL_B4,3551,1,1821.0,6248.0,inj,V,DIPC,TLNBL
CELL.3552,CELL.3552,5,Injury_20DPI_rep1_SS200000147BL_B4,3552,12,1827.0,7682.0,inj,V,OLIGO,OLIGO
CELL.3553,CELL.3553,5,Injury_20DPI_rep1_SS200000147BL_B4,3553,7,1824.0,11207.0,uninj,V,VLMC,VLMC
CELL.3555,CELL.3555,0,Injury_20DPI_rep1_SS200000147BL_B4,3555,0,1824.0,5972.0,inj,V,MSN,MSN
CELL.3556,CELL.3556,0,Injury_20DPI_rep1_SS200000147BL_B4,3556,0,1820.0,6201.0,inj,V,MSN,MSN
CELL.3557,CELL.3557,1,Injury_20DPI_rep1_SS200000147BL_B4,3557,10,1827.0,6680.0,inj,V,WNTRGC,WNTEGC
CELL.3558,CELL.3558,3,Injury_20DPI_rep1_SS200000147BL_B4,3558,3,1820.0,7011.0,inj,V,CMPN,CMPN
CELL.3559,CELL.3559,5,Injury_20DPI_rep1_SS200000147BL_B4,3559,7,1822.0,11226.0,uninj,V,VLMC,VLMC
CELL.3560,CELL.3560,0,Injury_20DPI_rep1_SS200000147BL_B4,3560,0,1838.0,6062.0,inj,V,MSN,MSN
CELL.3561,CELL.3561,0,Injury_20DPI_rep1_SS200000147BL_B4,3561,13,1828.0,9987.0,uninj,V,SCGNIN,SCGNIN
CELL.3562,CELL.3562,4,Injury_20DPI_rep1_SS200000147BL_B4,3562,6,1826.0,10221.0,uninj,V,OBNBL,OBNBL
CELL.3563,CELL.3563,4,Injury_20DPI_rep1_SS200000147BL_B4,3563,6,1827.0,5630.0,inj,V,OBNBL,OBNBL
CELL.3564,CELL.3564,0,Injury_20DPI_rep1_SS200000147BL_B4,3564,3,1825.0,6109.0,inj,V,CMPN,CMPN
CELL.3565,CELL.3565,1,Injury_20DPI_rep1_SS200000147BL_B4,3565,10,1825.0,6604.0,inj,V,WNTRGC,WNTEGC
CELL.3566,CELL.3566,6,Injury_20DPI_rep1_SS200000147BL_B4,3566,5,1826.0,8646.0,uninj,V,NPTXEX,NPTXEX
CELL.3568,CELL.3568,0,Injury_20DPI_rep1_SS200000147BL_B4,3568,0,1826.0,9927.0,uninj,V,MSN,MSN
CELL.3569,CELL.3569,4,Injury_20DPI_rep1_SS200000147BL_B4,3569,6,1829.0,5759.0,inj,V,OBNBL,OBNBL
CELL.3570,CELL.3570,1,Injury_20DPI_rep1_SS200000147BL_B4,3570,1,1829.0,9555.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3571,CELL.3571,5,Injury_20DPI_rep1_SS200000147BL_B4,3571,7,1829.0,4977.0,inj,V,VLMC,VLMC
CELL.3572,CELL.3572,0,Injury_20DPI_rep1_SS200000147BL_B4,3572,0,1826.0,6128.0,inj,V,MSN,MSN
CELL.3573,CELL.3573,0,Injury_20DPI_rep1_SS200000147BL_B4,3573,0,1824.0,6177.0,inj,V,VLMC,VLMC
CELL.3574,CELL.3574,1,Injury_20DPI_rep1_SS200000147BL_B4,3574,1,1821.0,6446.0,inj,V,DIPC,TLNBL
CELL.3575,CELL.3575,2,Injury_20DPI_rep1_SS200000147BL_B4,3575,8,1831.0,8457.0,uninj,V,MPEX,MPEX
CELL.3576,CELL.3576,0,Injury_20DPI_rep1_SS200000147BL_B4,3576,0,1827.0,6152.0,inj,V,MSN,MSN
CELL.3577,CELL.3577,1,Injury_20DPI_rep1_SS200000147BL_B4,3577,1,1826.0,6337.0,inj,V,SFRPRGC,SFRPEGC
CELL.3578,CELL.3578,2,Injury_20DPI_rep1_SS200000147BL_B4,3578,8,1828.0,8970.0,uninj,V,MPEX,MPEX
CELL.3579,CELL.3579,0,Injury_20DPI_rep1_SS200000147BL_B4,3579,1,1826.0,9656.0,uninj,V,DIPC,TLNBL
CELL.3581,CELL.3581,3,Injury_20DPI_rep1_SS200000147BL_B4,3581,3,1826.0,6791.0,inj,V,CMPN,CMPN
CELL.3582,CELL.3582,1,Injury_20DPI_rep1_SS200000147BL_B4,3582,10,1827.0,9100.0,uninj,V,WNTRGC,WNTEGC
CELL.3583,CELL.3583,0,Injury_20DPI_rep1_SS200000147BL_B4,3583,0,1833.0,9707.0,uninj,V,MSN,MSN
CELL.3584,CELL.3584,0,Injury_20DPI_rep1_SS200000147BL_B4,3584,0,1834.0,9775.0,uninj,V,MSN,MSN
CELL.3585,CELL.3585,5,Injury_20DPI_rep1_SS200000147BL_B4,3585,7,1827.0,4851.0,inj,V,VLMC,VLMC
CELL.3586,CELL.3586,1,Injury_20DPI_rep1_SS200000147BL_B4,3586,1,1834.0,6271.0,inj,V,SFRPRGC,SFRPEGC
CELL.3588,CELL.3588,2,Injury_20DPI_rep1_SS200000147BL_B4,3588,2,1832.0,9011.0,uninj,V,Immature EX,TLNBL
CELL.3589,CELL.3589,0,Injury_20DPI_rep1_SS200000147BL_B4,3589,0,1831.0,9899.0,uninj,V,MSN,MSN
CELL.3590,CELL.3590,4,Injury_20DPI_rep1_SS200000147BL_B4,3590,6,1833.0,10323.0,uninj,V,OBNBL,OBNBL
CELL.3591,CELL.3591,6,Injury_20DPI_rep1_SS200000147BL_B4,3591,12,1838.0,10782.0,uninj,V,OLIGO,OLIGO
CELL.3592,CELL.3592,0,Injury_20DPI_rep1_SS200000147BL_B4,3592,0,1835.0,9684.0,uninj,V,MSN,MSN
CELL.3593,CELL.3593,0,Injury_20DPI_rep1_SS200000147BL_B4,3593,0,1837.0,9877.0,uninj,V,SCGNIN,SCGNIN
CELL.3596,CELL.3596,0,Injury_20DPI_rep1_SS200000147BL_B4,3596,0,1837.0,5927.0,inj,V,MSN,MSN
CELL.3597,CELL.3597,6,Injury_20DPI_rep1_SS200000147BL_B4,3597,0,1835.0,6037.0,inj,V,MSN,MSN
CELL.3598,CELL.3598,0,Injury_20DPI_rep1_SS200000147BL_B4,3598,0,1838.0,9828.0,uninj,V,MSN,MSN
CELL.3599,CELL.3599,0,Injury_20DPI_rep1_SS200000147BL_B4,3599,13,1837.0,9965.0,uninj,V,SCGNIN,SCGNIN
CELL.3600,CELL.3600,1,Injury_20DPI_rep1_SS200000147BL_B4,3600,1,1835.0,9454.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3601,CELL.3601,4,Injury_20DPI_rep1_SS200000147BL_B4,3601,6,1838.0,5593.0,inj,V,OBNBL,OBNBL
CELL.3602,CELL.3602,0,Injury_20DPI_rep1_SS200000147BL_B4,3602,0,1842.0,6235.0,inj,V,MSN,MSN
CELL.3603,CELL.3603,6,Injury_20DPI_rep1_SS200000147BL_B4,3603,4,1836.0,7323.0,inj,V,Immature Neuron-Wound,RIPC4
CELL.3604,CELL.3604,7,Injury_20DPI_rep1_SS200000147BL_B4,3604,4,1833.0,8777.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.3605,CELL.3605,0,Injury_20DPI_rep1_SS200000147BL_B4,3605,0,1842.0,6006.0,inj,V,MSN,MSN
CELL.3607,CELL.3607,2,Injury_20DPI_rep1_SS200000147BL_B4,3607,5,1839.0,8521.0,uninj,V,NPTXEX,NPTXEX
CELL.3608,CELL.3608,4,Injury_20DPI_rep1_SS200000147BL_B4,3608,6,1837.0,10165.0,uninj,V,OBNBL,OBNBL
CELL.3609,CELL.3609,4,Injury_20DPI_rep1_SS200000147BL_B4,3609,6,1839.0,10491.0,uninj,V,OBNBL,OBNBL
CELL.3610,CELL.3610,2,Injury_20DPI_rep1_SS200000147BL_B4,3610,8,1838.0,8263.0,uninj,V,MPEX,MPEX
CELL.3611,CELL.3611,1,Injury_20DPI_rep1_SS200000147BL_B4,3611,10,1837.0,9056.0,uninj,V,WNTRGC,WNTEGC
CELL.3612,CELL.3612,4,Injury_20DPI_rep1_SS200000147BL_B4,3612,6,1841.0,10275.0,uninj,V,OBNBL,OBNBL
CELL.3614,CELL.3614,4,Injury_20DPI_rep1_SS200000147BL_B4,3614,6,1842.0,10452.0,uninj,V,OBNBL,OBNBL
CELL.3615,CELL.3615,6,Injury_20DPI_rep1_SS200000147BL_B4,3615,11,1842.0,10862.0,uninj,V,VLMC,VLMC
CELL.3616,CELL.3616,5,Injury_20DPI_rep1_SS200000147BL_B4,3616,11,1842.0,4919.0,inj,V,VLMC,VLMC
CELL.3617,CELL.3617,1,Injury_20DPI_rep1_SS200000147BL_B4,3617,1,1844.0,6412.0,inj,V,SFRPRGC,SFRPEGC
CELL.3618,CELL.3618,0,Injury_20DPI_rep1_SS200000147BL_B4,3618,0,1843.0,9851.0,uninj,V,MSN,MSN
CELL.3619,CELL.3619,0,Injury_20DPI_rep1_SS200000147BL_B4,3619,1,1841.0,9619.0,uninj,V,DIPC,TLNBL
CELL.3620,CELL.3620,5,Injury_20DPI_rep1_SS200000147BL_B4,3620,12,1843.0,4816.0,inj,V,VLMC,VLMC
CELL.3621,CELL.3621,2,Injury_20DPI_rep1_SS200000147BL_B4,3621,8,1842.0,8298.0,uninj,V,MPEX,MPEX
CELL.3622,CELL.3622,5,Injury_20DPI_rep1_SS200000147BL_B4,3622,7,1842.0,6732.0,inj,V,VLMC,VLMC
CELL.3623,CELL.3623,0,Injury_20DPI_rep1_SS200000147BL_B4,3623,0,1844.0,5868.0,inj,V,MSN,MSN
CELL.3624,CELL.3624,6,Injury_20DPI_rep1_SS200000147BL_B4,3624,5,1846.0,7145.0,inj,V,NPTXEX,NPTXEX
CELL.3626,CELL.3626,0,Injury_20DPI_rep1_SS200000147BL_B4,3626,13,1851.0,10024.0,uninj,V,SCGNIN,SCGNIN
CELL.3627,CELL.3627,0,Injury_20DPI_rep1_SS200000147BL_B4,3627,0,1851.0,5893.0,inj,V,MSN,MSN
CELL.3628,CELL.3628,0,Injury_20DPI_rep1_SS200000147BL_B4,3628,0,1847.0,6119.0,inj,V,MSN,MSN
CELL.3630,CELL.3630,2,Injury_20DPI_rep1_SS200000147BL_B4,3630,2,1850.0,8845.0,uninj,V,MPIN,MPIN
CELL.3631,CELL.3631,4,Injury_20DPI_rep1_SS200000147BL_B4,3631,6,1848.0,10212.0,uninj,V,OBNBL,OBNBL
CELL.3632,CELL.3632,5,Injury_20DPI_rep1_SS200000147BL_B4,3632,7,1846.0,11220.0,uninj,V,VLMC,VLMC
CELL.3633,CELL.3633,1,Injury_20DPI_rep1_SS200000147BL_B4,3633,1,1849.0,6385.0,inj,V,SFRPRGC,SFRPEGC
CELL.3634,CELL.3634,3,Injury_20DPI_rep1_SS200000147BL_B4,3634,5,1846.0,6844.0,inj,V,NPTXEX,NPTXEX
CELL.3635,CELL.3635,0,Injury_20DPI_rep1_SS200000147BL_B4,3635,13,1856.0,10071.0,uninj,V,SCGNIN,SCGNIN
CELL.3637,CELL.3637,4,Injury_20DPI_rep1_SS200000147BL_B4,3637,6,1851.0,5614.0,inj,V,OBNBL,OBNBL
CELL.3638,CELL.3638,0,Injury_20DPI_rep1_SS200000147BL_B4,3638,0,1851.0,6090.0,inj,V,MSN,MSN
CELL.3639,CELL.3639,2,Injury_20DPI_rep1_SS200000147BL_B4,3639,8,1849.0,7058.0,inj,V,MPEX,MPEX
CELL.3642,CELL.3642,4,Injury_20DPI_rep1_SS200000147BL_B4,3642,6,1854.0,10580.0,uninj,V,OBNBL,OBNBL
CELL.3643,CELL.3643,0,Injury_20DPI_rep1_SS200000147BL_B4,3643,0,1851.0,6178.0,inj,V,MSN,MSN
CELL.3644,CELL.3644,0,Injury_20DPI_rep1_SS200000147BL_B4,3644,0,1852.0,6208.0,inj,V,MSN,MSN
CELL.3646,CELL.3646,2,Injury_20DPI_rep1_SS200000147BL_B4,3646,2,1854.0,9021.0,uninj,V,Immature EX,TLNBL
CELL.3647,CELL.3647,0,Injury_20DPI_rep1_SS200000147BL_B4,3647,1,1852.0,9678.0,uninj,V,DIPC,TLNBL
CELL.3648,CELL.3648,4,Injury_20DPI_rep1_SS200000147BL_B4,3648,6,1849.0,10414.0,uninj,V,OBNBL,OBNBL
CELL.3650,CELL.3650,8,Injury_20DPI_rep1_SS200000147BL_B4,3650,2,1859.0,7213.0,inj,V,DPEX,DPEX
CELL.3651,CELL.3651,2,Injury_20DPI_rep1_SS200000147BL_B4,3651,2,1855.0,8958.0,uninj,V,Immature EX,TLNBL
CELL.3652,CELL.3652,1,Injury_20DPI_rep1_SS200000147BL_B4,3652,1,1854.0,9484.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3653,CELL.3653,0,Injury_20DPI_rep1_SS200000147BL_B4,3653,13,1855.0,9997.0,uninj,V,SCGNIN,SCGNIN
CELL.3654,CELL.3654,0,Injury_20DPI_rep1_SS200000147BL_B4,3654,0,1856.0,5966.0,inj,V,MSN,MSN
CELL.3655,CELL.3655,1,Injury_20DPI_rep1_SS200000147BL_B4,3655,1,1859.0,6362.0,inj,V,SFRPRGC,SFRPEGC
CELL.3656,CELL.3656,1,Injury_20DPI_rep1_SS200000147BL_B4,3656,10,1855.0,6637.0,inj,V,WNTRGC,WNTEGC
CELL.3657,CELL.3657,3,Injury_20DPI_rep1_SS200000147BL_B4,3657,7,1854.0,6758.0,inj,V,VLMC,VLMC
CELL.3658,CELL.3658,2,Injury_20DPI_rep1_SS200000147BL_B4,3658,2,1859.0,8413.0,uninj,V,DPEX,DPEX
CELL.3659,CELL.3659,2,Injury_20DPI_rep1_SS200000147BL_B4,3659,8,1855.0,8977.0,uninj,V,MPEX,MPEX
CELL.3660,CELL.3660,0,Injury_20DPI_rep1_SS200000147BL_B4,3660,1,1856.0,6258.0,inj,V,SFRPRGC,SFRPEGC
CELL.3662,CELL.3662,6,Injury_20DPI_rep1_SS200000147BL_B4,3662,1,1851.0,9355.0,uninj,V,DIPC,TLNBL
CELL.3663,CELL.3663,0,Injury_20DPI_rep1_SS200000147BL_B4,3663,0,1862.0,9711.0,uninj,V,MSN,MSN
CELL.3665,CELL.3665,4,Injury_20DPI_rep1_SS200000147BL_B4,3665,6,1860.0,5322.0,inj,V,OBNBL,OBNBL
CELL.3666,CELL.3666,0,Injury_20DPI_rep1_SS200000147BL_B4,3666,0,1859.0,6148.0,inj,V,MSN,MSN
CELL.3668,CELL.3668,0,Injury_20DPI_rep1_SS200000147BL_B4,3668,13,1853.0,9912.0,uninj,V,SCGNIN,SCGNIN
CELL.3669,CELL.3669,4,Injury_20DPI_rep1_SS200000147BL_B4,3669,6,1858.0,10348.0,uninj,V,OBNBL,OBNBL
CELL.3670,CELL.3670,0,Injury_20DPI_rep1_SS200000147BL_B4,3670,0,1862.0,5992.0,inj,V,MSN,MSN
CELL.3671,CELL.3671,1,Injury_20DPI_rep1_SS200000147BL_B4,3671,10,1868.0,9087.0,uninj,V,WNTRGC,WNTEGC
CELL.3672,CELL.3672,0,Injury_20DPI_rep1_SS200000147BL_B4,3672,0,1861.0,9744.0,uninj,V,DIPC,TLNBL
CELL.3673,CELL.3673,6,Injury_20DPI_rep1_SS200000147BL_B4,3673,12,1862.0,10790.0,uninj,V,OLIGO,OLIGO
CELL.3674,CELL.3674,5,Injury_20DPI_rep1_SS200000147BL_B4,3674,7,1856.0,4992.0,inj,V,VLMC,VLMC
CELL.3675,CELL.3675,4,Injury_20DPI_rep1_SS200000147BL_B4,3675,6,1860.0,5768.0,inj,V,OBNBL,OBNBL
CELL.3676,CELL.3676,3,Injury_20DPI_rep1_SS200000147BL_B4,3676,11,1867.0,6792.0,inj,V,VLMC,VLMC
CELL.3677,CELL.3677,2,Injury_20DPI_rep1_SS200000147BL_B4,3677,8,1859.0,8451.0,uninj,V,MPEX,MPEX
CELL.3678,CELL.3678,4,Injury_20DPI_rep1_SS200000147BL_B4,3678,6,1857.0,10187.0,uninj,V,OBNBL,OBNBL
CELL.3679,CELL.3679,6,Injury_20DPI_rep1_SS200000147BL_B4,3679,5,1864.0,10684.0,uninj,V,NPTXEX,NPTXEX
CELL.3680,CELL.3680,4,Injury_20DPI_rep1_SS200000147BL_B4,3680,6,1862.0,5643.0,inj,V,OBNBL,OBNBL
CELL.3681,CELL.3681,1,Injury_20DPI_rep1_SS200000147BL_B4,3681,1,1866.0,6323.0,inj,V,SFRPRGC,SFRPEGC
CELL.3682,CELL.3682,1,Injury_20DPI_rep1_SS200000147BL_B4,3682,1,1857.0,6439.0,inj,V,DIPC,TLNBL
CELL.3683,CELL.3683,2,Injury_20DPI_rep1_SS200000147BL_B4,3683,14,1859.0,8873.0,uninj,V,SSTIN,SSTIN
CELL.3684,CELL.3684,4,Injury_20DPI_rep1_SS200000147BL_B4,3684,6,1865.0,5713.0,inj,V,OBNBL,OBNBL
CELL.3685,CELL.3685,0,Injury_20DPI_rep1_SS200000147BL_B4,3685,13,1866.0,5933.0,inj,V,SCGNIN,SCGNIN
CELL.3686,CELL.3686,6,Injury_20DPI_rep1_SS200000147BL_B4,3686,1,1866.0,6608.0,inj,V,DIPC,TLNBL
CELL.3687,CELL.3687,1,Injury_20DPI_rep1_SS200000147BL_B4,3687,10,1864.0,9121.0,uninj,V,WNTRGC,WNTEGC
CELL.3688,CELL.3688,0,Injury_20DPI_rep1_SS200000147BL_B4,3688,0,1866.0,9800.0,uninj,V,MSN,MSN
CELL.3689,CELL.3689,0,Injury_20DPI_rep1_SS200000147BL_B4,3689,13,1862.0,9891.0,uninj,V,SCGNIN,SCGNIN
CELL.3690,CELL.3690,8,Injury_20DPI_rep1_SS200000147BL_B4,3690,6,1870.0,5586.0,inj,V,OBNBL,OBNBL
CELL.3691,CELL.3691,1,Injury_20DPI_rep1_SS200000147BL_B4,3691,1,1860.0,6295.0,inj,V,SFRPRGC,SFRPEGC
CELL.3693,CELL.3693,6,Injury_20DPI_rep1_SS200000147BL_B4,3693,11,1868.0,10773.0,uninj,V,VLMC,VLMC
CELL.3694,CELL.3694,5,Injury_20DPI_rep1_SS200000147BL_B4,3694,12,1863.0,4825.0,inj,V,VLMC,VLMC
CELL.3695,CELL.3695,0,Injury_20DPI_rep1_SS200000147BL_B4,3695,13,1869.0,6226.0,inj,V,SCGNIN,SCGNIN
CELL.3697,CELL.3697,1,Injury_20DPI_rep1_SS200000147BL_B4,3697,1,1870.0,9505.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3698,CELL.3698,1,Injury_20DPI_rep1_SS200000147BL_B4,3698,1,1866.0,9555.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3699,CELL.3699,4,Injury_20DPI_rep1_SS200000147BL_B4,3699,13,1865.0,10137.0,uninj,V,SCGNIN,SCGNIN
CELL.3700,CELL.3700,3,Injury_20DPI_rep1_SS200000147BL_B4,3700,2,1868.0,6829.0,inj,V,MPIN,MPIN
CELL.3701,CELL.3701,0,Injury_20DPI_rep1_SS200000147BL_B4,3701,0,1866.0,9823.0,uninj,V,MSN,MSN
CELL.3702,CELL.3702,5,Injury_20DPI_rep1_SS200000147BL_B4,3702,7,1868.0,11235.0,uninj,V,VLMC,VLMC
CELL.3703,CELL.3703,2,Injury_20DPI_rep1_SS200000147BL_B4,3703,5,1872.0,8674.0,uninj,V,NPTXEX,NPTXEX
CELL.3704,CELL.3704,0,Injury_20DPI_rep1_SS200000147BL_B4,3704,0,1870.0,9847.0,uninj,V,SCGNIN,SCGNIN
CELL.3705,CELL.3705,4,Injury_20DPI_rep1_SS200000147BL_B4,3705,6,1871.0,10222.0,uninj,V,OBNBL,OBNBL
CELL.3706,CELL.3706,1,Injury_20DPI_rep1_SS200000147BL_B4,3706,1,1871.0,9589.0,uninj,V,SFRPRGC,SFRPEGC
CELL.3707,CELL.3707,4,Injury_20DPI_rep1_SS200000147BL_B4,3707,6,1876.0,10522.0,uninj,V,OBNBL,OBNBL
CELL.3708,CELL.3708,0,Injury_20DPI_rep1_SS200000147BL_B4,3708,0,1875.0,6059.0,inj,V,MSN,MSN
CELL.3709,CELL.3709,1,Injury_20DPI_rep1_SS200000147BL_B4,3709,10,1864.0,6675.0,inj,V,WNTRGC,WNTEGC
CELL.3710,CELL.3710,0,Injury_20DPI_rep1_SS200000147BL_B4,3710,13,1870.0,9968.0,uninj,V,SCGNIN,SCGNIN
CELL.3711,CELL.3711,4,Injury_20DPI_rep1_SS200000147BL_B4,3711,6,1873.0,5611.0,inj,V,OBNBL,OBNBL
CELL.3712,CELL.3712,0,Injury_20DPI_rep1_SS200000147BL_B4,3712,0,1876.0,6023.0,inj,V,MSN,MSN
