,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,inj_M_L,x_center,y_center,Annotation_Final,Annotation_0306
CELL.2145,CELL.2145,1,Injury_15DPI_rep2_FP200000266TR_E2,2145,12,NPYIN,uninj,V,NO,1127.0,3431.0,NPYIN,NPYIN
CELL.2146,CELL.2146,1,Injury_15DPI_rep2_FP200000266TR_E2,2146,12,NPYIN,uninj,V,NO,1133.0,3781.0,NPYIN,NPYIN
CELL.2147,CELL.2147,5,Injury_15DPI_rep2_FP200000266TR_E2,2147,5,MSN,inj,V,NO,1130.0,663.0,CCKIN,CCKIN
CELL.2148,CELL.2148,5,Injury_15DPI_rep2_FP200000266TR_E2,2148,5,MSN,inj,V,NO,1147.0,777.0,CMPN,CMPN
CELL.2149,CELL.2149,2,Injury_15DPI_rep2_FP200000266TR_E2,2149,4,SFRP1RGC,inj,V,NO,1145.0,1064.0,SFRPRGC,SFRPEGC
CELL.2150,CELL.2150,1,Injury_15DPI_rep2_FP200000266TR_E2,2150,2,CMPN,inj,V,NO,1132.0,2040.0,CMPN,CMPN
CELL.2152,CELL.2152,7,Injury_15DPI_rep2_FP200000266TR_E2,2152,12,NPYIN,uninj,V,NO,1134.0,3643.0,NPYIN,NPYIN
CELL.2153,CELL.2153,2,Injury_15DPI_rep2_FP200000266TR_E2,2153,4,SFRP1RGC,uninj,V,NO,1131.0,4274.0,SFRPRGC,SFRPEGC
CELL.2154,CELL.2154,5,Injury_15DPI_rep2_FP200000266TR_E2,2154,5,StriatumIN,inj,V,NO,1136.0,861.0,CMPN,CMPN
CELL.2155,CELL.2155,0,Injury_15DPI_rep2_FP200000266TR_E2,2155,1,VLMC,inj,V,NO,1131.0,2681.0,VLMC,VLMC
CELL.2156,CELL.2156,11,Injury_15DPI_rep2_FP200000266TR_E2,2156,14,SCGNIN,uninj,V,NO,1132.0,2906.0,SCGNIN,SCGNIN
CELL.2158,CELL.2158,7,Injury_15DPI_rep2_FP200000266TR_E2,2158,12,NPYIN,uninj,V,NO,1130.0,3680.0,NPYIN,NPYIN
CELL.2159,CELL.2159,2,Injury_15DPI_rep2_FP200000266TR_E2,2159,6,WNTRGC,uninj,V,NO,1132.0,4195.0,WNTRGC,WNTEGC
CELL.2160,CELL.2160,2,Injury_15DPI_rep2_FP200000266TR_E2,2160,6,WNTRGC,inj,V,NO,1134.0,1014.0,WNTRGC,WNTEGC
CELL.2161,CELL.2161,1,Injury_15DPI_rep2_FP200000266TR_E2,2161,2,CMPN,uninj,V,NO,1137.0,5116.0,CMPN,CMPN
CELL.2162,CELL.2162,2,Injury_15DPI_rep2_FP200000266TR_E2,2162,4,SFRP1RGC,inj,V,NO,1132.0,1333.0,SFRPRGC,SFRPEGC
CELL.2163,CELL.2163,1,Injury_15DPI_rep2_FP200000266TR_E2,2163,2,NBL,uninj,V,NO,1136.0,3014.0,NTNG1EX,NTNG1EX
CELL.2164,CELL.2164,2,Injury_15DPI_rep2_FP200000266TR_E2,2164,4,SFRP1RGC,uninj,V,NO,1134.0,4574.0,SFRPRGC,SFRPEGC
CELL.2165,CELL.2165,5,Injury_15DPI_rep2_FP200000266TR_E2,2165,5,StriatumIN,inj,V,NO,1136.0,826.0,CMPN,CMPN
CELL.2166,CELL.2166,5,Injury_15DPI_rep2_FP200000266TR_E2,2166,5,StriatumIN,inj,V,NO,1139.0,966.0,CMPN,CMPN
CELL.2167,CELL.2167,1,Injury_15DPI_rep2_FP200000266TR_E2,2167,1,CP,inj,V,NO,1131.0,2325.0,VLMC,VLMC
CELL.2168,CELL.2168,11,Injury_15DPI_rep2_FP200000266TR_E2,2168,1,VLMC,inj,V,NO,1136.0,2716.0,VLMC,VLMC
CELL.2169,CELL.2169,7,Injury_15DPI_rep2_FP200000266TR_E2,2169,12,NPYIN,uninj,V,NO,1142.0,3616.0,NPYIN,NPYIN
CELL.2170,CELL.2170,1,Injury_15DPI_rep2_FP200000266TR_E2,2170,15,NBL,uninj,V,NO,1139.0,3932.0,NTNG1EX,NTNG1EX
CELL.2171,CELL.2171,2,Injury_15DPI_rep2_FP200000266TR_E2,2171,6,WNTRGC,uninj,V,NO,1140.0,4110.0,WNTRGC,WNTEGC
CELL.2172,CELL.2172,5,Injury_15DPI_rep2_FP200000266TR_E2,2172,8,BKC,uninj,V,NO,1135.0,4805.0,CCKIN,CCKIN
CELL.2173,CELL.2173,5,Injury_15DPI_rep2_FP200000266TR_E2,2173,5,MSN,inj,V,NO,1135.0,624.0,CCKIN,CCKIN
CELL.2174,CELL.2174,2,Injury_15DPI_rep2_FP200000266TR_E2,2174,6,WNTRGC,inj,V,NO,1142.0,1509.0,WNTRGC,WNTEGC
CELL.2175,CELL.2175,1,Injury_15DPI_rep2_FP200000266TR_E2,2175,2,CMPN,uninj,V,NO,1144.0,3840.0,CMPN,CMPN
CELL.2176,CELL.2176,2,Injury_15DPI_rep2_FP200000266TR_E2,2176,4,SFRP1RGC,uninj,V,NO,1134.0,4503.0,SFRPRGC,SFRPEGC
CELL.2177,CELL.2177,5,Injury_15DPI_rep2_FP200000266TR_E2,2177,5,StriatumIN,uninj,V,NO,1140.0,4772.0,CMPN,CMPN
CELL.2178,CELL.2178,5,Injury_15DPI_rep2_FP200000266TR_E2,2178,8,BKC,uninj,V,NO,1139.0,4824.0,CCKIN,CCKIN
CELL.2179,CELL.2179,1,Injury_15DPI_rep2_FP200000266TR_E2,2179,2,CMPN,uninj,V,NO,1136.0,4135.0,CMPN,CMPN
CELL.2180,CELL.2180,2,Injury_15DPI_rep2_FP200000266TR_E2,2180,6,WNTRGC,uninj,V,NO,1141.0,4363.0,WNTRGC,WNTEGC
CELL.2181,CELL.2181,7,Injury_15DPI_rep2_FP200000266TR_E2,2181,2,CMPN,inj,V,NO,1142.0,1793.0,CMPN,CMPN
CELL.2182,CELL.2182,7,Injury_15DPI_rep2_FP200000266TR_E2,2182,12,NPYIN,uninj,V,NO,1141.0,3726.0,NPYIN,NPYIN
CELL.2183,CELL.2183,5,Injury_15DPI_rep2_FP200000266TR_E2,2183,5,StriatumIN,inj,V,NO,1137.0,755.0,CMPN,CMPN
CELL.2184,CELL.2184,1,Injury_15DPI_rep2_FP200000266TR_E2,2184,14,SCGNIN,uninj,V,NO,1140.0,3058.0,SCGNIN,SCGNIN
CELL.2185,CELL.2185,1,Injury_15DPI_rep2_FP200000266TR_E2,2185,12,NPYIN,uninj,V,NO,1132.0,3353.0,NPYIN,NPYIN
CELL.2186,CELL.2186,5,Injury_15DPI_rep2_FP200000266TR_E2,2186,5,StriatumIN,uninj,V,NO,1147.0,4744.0,CMPN,CMPN
CELL.2187,CELL.2187,5,Injury_15DPI_rep2_FP200000266TR_E2,2187,13,IMC,inj,V,NO,1131.0,916.0,Microglia,MCG
CELL.2188,CELL.2188,0,Injury_15DPI_rep2_FP200000266TR_E2,2188,1,VLMC,inj,V,NO,1139.0,2413.0,VLMC,VLMC
CELL.2189,CELL.2189,3,Injury_15DPI_rep2_FP200000266TR_E2,2189,14,SCGNIN,uninj,V,NO,1141.0,5059.0,SCGNIN,SCGNIN
CELL.2190,CELL.2190,5,Injury_15DPI_rep2_FP200000266TR_E2,2190,4,SFRP1RGC,inj,V,NO,1145.0,997.0,SFRPRGC,SFRPEGC
CELL.2191,CELL.2191,2,Injury_15DPI_rep2_FP200000266TR_E2,2191,4,SFRP1RGC,inj,V,NO,1142.0,1236.0,SFRPRGC,SFRPEGC
CELL.2192,CELL.2192,1,Injury_15DPI_rep2_FP200000266TR_E2,2192,12,NPYIN,inj,V,NO,1145.0,1747.0,NPYIN,NPYIN
CELL.2193,CELL.2193,3,Injury_15DPI_rep2_FP200000266TR_E2,2193,7,OBNBL,uninj,V,NO,1154.0,4936.0,OBNBL,OBNBL
CELL.2194,CELL.2194,0,Injury_15DPI_rep2_FP200000266TR_E2,2194,1,VLMC,inj,V,NO,1147.0,2371.0,VLMC,VLMC
CELL.2195,CELL.2195,11,Injury_15DPI_rep2_FP200000266TR_E2,2195,2,CP,inj,V,NO,1146.0,2554.0,CMPN,CMPN
CELL.2198,CELL.2198,1,Injury_15DPI_rep2_FP200000266TR_E2,2198,15,NBL,uninj,V,NO,1144.0,2939.0,NTNG1EX,NTNG1EX
CELL.2199,CELL.2199,2,Injury_15DPI_rep2_FP200000266TR_E2,2199,4,SFRP1RGC,uninj,V,NO,1145.0,4552.0,SFRPRGC,SFRPEGC
CELL.2200,CELL.2200,2,Injury_15DPI_rep2_FP200000266TR_E2,2200,4,SFRP1RGC,inj,V,NO,1145.0,1172.0,SFRPRGC,SFRPEGC
CELL.2201,CELL.2201,1,Injury_15DPI_rep2_FP200000266TR_E2,2201,2,NBL,uninj,V,NO,1148.0,3178.0,NTNG1EX,NTNG1EX
CELL.2202,CELL.2202,1,Injury_15DPI_rep2_FP200000266TR_E2,2202,12,NPYIN,uninj,V,NO,1148.0,3385.0,NPYIN,NPYIN
CELL.2203,CELL.2203,1,Injury_15DPI_rep2_FP200000266TR_E2,2203,12,NPYIN,uninj,V,NO,1147.0,3481.0,NPYIN,NPYIN
CELL.2204,CELL.2204,2,Injury_15DPI_rep2_FP200000266TR_E2,2204,4,SFRP1RGC,uninj,V,NO,1147.0,4048.0,SFRPRGC,SFRPEGC
CELL.2205,CELL.2205,2,Injury_15DPI_rep2_FP200000266TR_E2,2205,6,WNTRGC,uninj,V,NO,1142.0,4152.0,WNTRGC,WNTEGC
CELL.2206,CELL.2206,0,Injury_15DPI_rep2_FP200000266TR_E2,2206,9,VLMC,uninj,V,NO,1148.0,5402.0,VLMC,VLMC
CELL.2207,CELL.2207,11,Injury_15DPI_rep2_FP200000266TR_E2,2207,1,VLMC,inj,V,NO,1152.0,2735.0,VLMC,VLMC
CELL.2208,CELL.2208,3,Injury_15DPI_rep2_FP200000266TR_E2,2208,3,DMIN,uninj,V,NO,1147.0,5172.0,MSN,MSN
CELL.2210,CELL.2210,2,Injury_15DPI_rep2_FP200000266TR_E2,2210,4,SFRP1RGC,inj,V,NO,1148.0,1035.0,SFRPRGC,SFRPEGC
CELL.2211,CELL.2211,1,Injury_15DPI_rep2_FP200000266TR_E2,2211,2,CMPN,inj,V,NO,1154.0,1925.0,CMPN,CMPN
CELL.2212,CELL.2212,5,Injury_15DPI_rep2_FP200000266TR_E2,2212,5,StriatumIN,inj,V,NO,1152.0,549.0,CMPN,CMPN
CELL.2213,CELL.2213,5,Injury_15DPI_rep2_FP200000266TR_E2,2213,5,StriatumIN,inj,V,NO,1153.0,879.0,CMPN,CMPN
CELL.2216,CELL.2216,1,Injury_15DPI_rep2_FP200000266TR_E2,2216,14,SCGNIN,uninj,V,NO,1152.0,3036.0,SCGNIN,SCGNIN
CELL.2217,CELL.2217,2,Injury_15DPI_rep2_FP200000266TR_E2,2217,6,WNTRGC,uninj,V,NO,1151.0,4191.0,WNTRGC,WNTEGC
CELL.2218,CELL.2218,2,Injury_15DPI_rep2_FP200000266TR_E2,2218,4,SFRP1RGC,uninj,V,NO,1150.0,4608.0,SFRPRGC,SFRPEGC
CELL.2219,CELL.2219,5,Injury_15DPI_rep2_FP200000266TR_E2,2219,2,CMPN,uninj,V,NO,1159.0,4879.0,CMPN,CMPN
CELL.2220,CELL.2220,2,Injury_15DPI_rep2_FP200000266TR_E2,2220,4,SFRP1RGC,uninj,V,NO,1156.0,4454.0,SFRPRGC,SFRPEGC
CELL.2221,CELL.2221,3,Injury_15DPI_rep2_FP200000266TR_E2,2221,14,SCGNIN,uninj,V,NO,1153.0,5036.0,SCGNIN,SCGNIN
CELL.2222,CELL.2222,5,Injury_15DPI_rep2_FP200000266TR_E2,2222,5,MSN,inj,V,NO,1158.0,717.0,CCKIN,CCKIN
CELL.2223,CELL.2223,2,Injury_15DPI_rep2_FP200000266TR_E2,2223,4,SFRP1RGC,inj,V,NO,1135.0,1353.0,SFRPRGC,SFRPEGC
CELL.2225,CELL.2225,1,Injury_15DPI_rep2_FP200000266TR_E2,2225,2,CMPN,uninj,V,NO,1145.0,3877.0,CMPN,CMPN
CELL.2226,CELL.2226,7,Injury_15DPI_rep2_FP200000266TR_E2,2226,4,SFRP1RGC,uninj,V,NO,1156.0,4013.0,SFRPRGC,SFRPEGC
CELL.2227,CELL.2227,0,Injury_15DPI_rep2_FP200000266TR_E2,2227,1,VLMC,uninj,V,NO,1158.0,5361.0,VLMC,VLMC
CELL.2228,CELL.2228,2,Injury_15DPI_rep2_FP200000266TR_E2,2228,4,SFRP1RGC,inj,V,NO,1149.0,1297.0,SFRPRGC,SFRPEGC
CELL.2229,CELL.2229,2,Injury_15DPI_rep2_FP200000266TR_E2,2229,6,WNTRGC,uninj,V,NO,1147.0,4529.0,WNTRGC,WNTEGC
CELL.2230,CELL.2230,2,Injury_15DPI_rep2_FP200000266TR_E2,2230,4,SFRP1RGC,uninj,V,NO,1159.0,4570.0,SFRPRGC,SFRPEGC
CELL.2231,CELL.2231,2,Injury_15DPI_rep2_FP200000266TR_E2,2231,4,SFRP1RGC,uninj,V,NO,1156.0,4340.0,SFRPRGC,SFRPEGC
CELL.2232,CELL.2232,5,Injury_15DPI_rep2_FP200000266TR_E2,2232,5,StriatumIN,inj,V,NO,1156.0,804.0,CMPN,CMPN
CELL.2233,CELL.2233,1,Injury_15DPI_rep2_FP200000266TR_E2,2233,2,CMPN,uninj,V,NO,1157.0,3803.0,CMPN,CMPN
CELL.2234,CELL.2234,2,Injury_15DPI_rep2_FP200000266TR_E2,2234,6,WNTRGC,uninj,V,NO,1160.0,4271.0,WNTRGC,WNTEGC
CELL.2235,CELL.2235,11,Injury_15DPI_rep2_FP200000266TR_E2,2235,1,VLMC,inj,V,NO,1162.0,303.0,VLMC,VLMC
CELL.2236,CELL.2236,2,Injury_15DPI_rep2_FP200000266TR_E2,2236,6,WNTRGC,inj,V,NO,1159.0,1532.0,WNTRGC,WNTEGC
CELL.2237,CELL.2237,7,Injury_15DPI_rep2_FP200000266TR_E2,2237,2,CMPN,uninj,V,NO,1164.0,3757.0,CMPN,CMPN
CELL.2238,CELL.2238,2,Injury_15DPI_rep2_FP200000266TR_E2,2238,6,WNTRGC,uninj,V,NO,1158.0,4423.0,WNTRGC,WNTEGC
CELL.2239,CELL.2239,2,Injury_15DPI_rep2_FP200000266TR_E2,2239,6,WNTRGC,inj,V,NO,1155.0,1103.0,WNTRGC,WNTEGC
CELL.2240,CELL.2240,1,Injury_15DPI_rep2_FP200000266TR_E2,2240,12,CMPN,inj,V,NO,1162.0,1826.0,NPYIN,NPYIN
CELL.2241,CELL.2241,2,Injury_15DPI_rep2_FP200000266TR_E2,2241,4,SFRP1RGC,inj,V,NO,1158.0,1014.0,SFRPRGC,SFRPEGC
CELL.2242,CELL.2242,2,Injury_15DPI_rep2_FP200000266TR_E2,2242,6,WNTRGC,inj,V,NO,1163.0,1214.0,WNTRGC,WNTEGC
CELL.2243,CELL.2243,7,Injury_15DPI_rep2_FP200000266TR_E2,2243,2,CMPN,inj,V,NO,1161.0,1636.0,CMPN,CMPN
CELL.2244,CELL.2244,7,Injury_15DPI_rep2_FP200000266TR_E2,2244,2,CMPN,inj,V,NO,1163.0,1670.0,CMPN,CMPN
CELL.2245,CELL.2245,5,Injury_15DPI_rep2_FP200000266TR_E2,2245,3,DMIN,uninj,V,NO,1158.0,4855.0,MSN,MSN
CELL.2246,CELL.2246,5,Injury_15DPI_rep2_FP200000266TR_E2,2246,5,StriatumIN,inj,V,NO,1161.0,916.0,CMPN,CMPN
CELL.2247,CELL.2247,2,Injury_15DPI_rep2_FP200000266TR_E2,2247,6,WNTRGC,uninj,V,NO,1166.0,4125.0,WNTRGC,WNTEGC
CELL.2249,CELL.2249,7,Injury_15DPI_rep2_FP200000266TR_E2,2249,2,CMPN,inj,V,NO,1153.0,1865.0,CMPN,CMPN
CELL.2250,CELL.2250,1,Injury_15DPI_rep2_FP200000266TR_E2,2250,2,CMPN,uninj,V,NO,1162.0,3697.0,CMPN,CMPN
CELL.2251,CELL.2251,5,Injury_15DPI_rep2_FP200000266TR_E2,2251,5,StriatumIN,uninj,V,NO,1160.0,4798.0,CMPN,CMPN
CELL.2253,CELL.2253,1,Injury_15DPI_rep2_FP200000266TR_E2,2253,2,CMPN,uninj,V,NO,1168.0,3015.0,CMPN,CMPN
CELL.2254,CELL.2254,5,Injury_15DPI_rep2_FP200000266TR_E2,2254,5,MSN,inj,V,NO,1160.0,646.0,CCKIN,CCKIN
CELL.2255,CELL.2255,2,Injury_15DPI_rep2_FP200000266TR_E2,2255,4,WNTRGC,inj,V,NO,1164.0,1605.0,SFRPRGC,SFRPEGC
CELL.2256,CELL.2256,1,Injury_15DPI_rep2_FP200000266TR_E2,2256,2,CMPN,inj,V,NO,1167.0,1707.0,CMPN,CMPN
CELL.2257,CELL.2257,5,Injury_15DPI_rep2_FP200000266TR_E2,2257,2,CMPN,uninj,V,NO,1174.0,4832.0,CMPN,CMPN
CELL.2258,CELL.2258,2,Injury_15DPI_rep2_FP200000266TR_E2,2258,6,WNTRGC,inj,V,NO,1166.0,1086.0,WNTRGC,WNTEGC
CELL.2259,CELL.2259,2,Injury_15DPI_rep2_FP200000266TR_E2,2259,4,SFRP1RGC,inj,V,NO,1170.0,1125.0,SFRPRGC,SFRPEGC
CELL.2260,CELL.2260,1,Injury_15DPI_rep2_FP200000266TR_E2,2260,12,NPYIN,inj,V,NO,1160.0,2026.0,NPYIN,NPYIN
CELL.2261,CELL.2261,1,Injury_15DPI_rep2_FP200000266TR_E2,2261,2,CMPN,uninj,V,NO,1165.0,3673.0,CMPN,CMPN
CELL.2262,CELL.2262,2,Injury_15DPI_rep2_FP200000266TR_E2,2262,4,SFRP1RGC,uninj,V,NO,1168.0,4510.0,SFRPRGC,SFRPEGC
CELL.2263,CELL.2263,5,Injury_15DPI_rep2_FP200000266TR_E2,2263,4,SFRP1RGC,uninj,V,NO,1160.0,4685.0,SFRPRGC,SFRPEGC
CELL.2264,CELL.2264,1,Injury_15DPI_rep2_FP200000266TR_E2,2264,7,OBNBL,uninj,V,NO,1164.0,5191.0,OBNBL,OBNBL
CELL.2265,CELL.2265,1,Injury_15DPI_rep2_FP200000266TR_E2,2265,12,NPYIN,uninj,V,NO,1170.0,3278.0,NPYIN,NPYIN
CELL.2266,CELL.2266,2,Injury_15DPI_rep2_FP200000266TR_E2,2266,4,SFRP1RGC,uninj,V,NO,1165.0,4314.0,SFRPRGC,SFRPEGC
CELL.2267,CELL.2267,2,Injury_15DPI_rep2_FP200000266TR_E2,2267,4,SFRP1RGC,uninj,V,NO,1163.0,4382.0,SFRPRGC,SFRPEGC
CELL.2268,CELL.2268,3,Injury_15DPI_rep2_FP200000266TR_E2,2268,3,DMIN,uninj,V,NO,1163.0,4911.0,MSN,MSN
CELL.2269,CELL.2269,5,Injury_15DPI_rep2_FP200000266TR_E2,2269,5,StriatumIN,inj,V,NO,1164.0,851.0,CMPN,CMPN
CELL.2270,CELL.2270,2,Injury_15DPI_rep2_FP200000266TR_E2,2270,4,SFRP1RGC,inj,V,NO,1161.0,1283.0,SFRPRGC,SFRPEGC
CELL.2272,CELL.2272,2,Injury_15DPI_rep2_FP200000266TR_E2,2272,6,WNTRGC,inj,V,NO,1162.0,1583.0,WNTRGC,WNTEGC
CELL.2273,CELL.2273,11,Injury_15DPI_rep2_FP200000266TR_E2,2273,12,NPYIN,uninj,V,NO,1168.0,3521.0,NPYIN,NPYIN
CELL.2275,CELL.2275,3,Injury_15DPI_rep2_FP200000266TR_E2,2275,3,DMIN,uninj,V,NO,1173.0,5131.0,MSN,MSN
CELL.2276,CELL.2276,7,Injury_15DPI_rep2_FP200000266TR_E2,2276,1,VLMC,inj,V,NO,1168.0,2335.0,VLMC,VLMC
CELL.2279,CELL.2279,2,Injury_15DPI_rep2_FP200000266TR_E2,2279,4,SFRP1RGC,uninj,V,NO,1161.0,4480.0,SFRPRGC,SFRPEGC
CELL.2280,CELL.2280,2,Injury_15DPI_rep2_FP200000266TR_E2,2280,4,SFRP1RGC,uninj,V,NO,1169.0,4625.0,SFRPRGC,SFRPEGC
CELL.2281,CELL.2281,5,Injury_15DPI_rep2_FP200000266TR_E2,2281,2,CMPN,uninj,V,NO,1164.0,4768.0,CMPN,CMPN
CELL.2282,CELL.2282,1,Injury_15DPI_rep2_FP200000266TR_E2,2282,2,CMPN,inj,V,NO,1172.0,1756.0,CMPN,CMPN
CELL.2283,CELL.2283,1,Injury_15DPI_rep2_FP200000266TR_E2,2283,2,CMPN,inj,V,NO,1173.0,1930.0,CMPN,CMPN
CELL.2284,CELL.2284,1,Injury_15DPI_rep2_FP200000266TR_E2,2284,15,NBL,uninj,V,NO,1174.0,3032.0,NTNG1EX,NTNG1EX
CELL.2285,CELL.2285,1,Injury_15DPI_rep2_FP200000266TR_E2,2285,12,NPYIN,uninj,V,NO,1172.0,3365.0,NPYIN,NPYIN
CELL.2286,CELL.2286,3,Injury_15DPI_rep2_FP200000266TR_E2,2286,14,SCGNIN,uninj,V,NO,1167.0,4989.0,SCGNIN,SCGNIN
CELL.2287,CELL.2287,11,Injury_15DPI_rep2_FP200000266TR_E2,2287,1,VLMC,inj,V,NO,1170.0,2712.0,VLMC,VLMC
CELL.2288,CELL.2288,7,Injury_15DPI_rep2_FP200000266TR_E2,2288,2,CMPN,uninj,V,NO,1170.0,3927.0,CMPN,CMPN
CELL.2289,CELL.2289,2,Injury_15DPI_rep2_FP200000266TR_E2,2289,6,WNTRGC,uninj,V,NO,1169.0,4228.0,WNTRGC,WNTEGC
CELL.2290,CELL.2290,1,Injury_15DPI_rep2_FP200000266TR_E2,2290,2,CMPN,inj,V,NO,1162.0,1730.0,CMPN,CMPN
CELL.2291,CELL.2291,1,Injury_15DPI_rep2_FP200000266TR_E2,2291,2,CMPN,uninj,V,NO,1170.0,3173.0,CMPN,CMPN
CELL.2292,CELL.2292,2,Injury_15DPI_rep2_FP200000266TR_E2,2292,4,SFRP1RGC,uninj,V,NO,1173.0,4159.0,SFRPRGC,SFRPEGC
CELL.2293,CELL.2293,2,Injury_15DPI_rep2_FP200000266TR_E2,2293,6,WNTRGC,uninj,V,NO,1175.0,4099.0,WNTRGC,WNTEGC
CELL.2294,CELL.2294,2,Injury_15DPI_rep2_FP200000266TR_E2,2294,4,SFRP1RGC,uninj,V,NO,1177.0,4546.0,SFRPRGC,SFRPEGC
CELL.2295,CELL.2295,0,Injury_15DPI_rep2_FP200000266TR_E2,2295,9,VLMC,uninj,V,NO,1176.0,5411.0,VLMC,VLMC
CELL.2296,CELL.2296,5,Injury_15DPI_rep2_FP200000266TR_E2,2296,5,StriatumIN,inj,V,NO,1168.0,943.0,CMPN,CMPN
CELL.2297,CELL.2297,5,Injury_15DPI_rep2_FP200000266TR_E2,2297,5,StriatumIN,inj,V,NO,1176.0,969.0,CMPN,CMPN
CELL.2298,CELL.2298,2,Injury_15DPI_rep2_FP200000266TR_E2,2298,6,WNTRGC,uninj,V,NO,1176.0,4187.0,WNTRGC,WNTEGC
CELL.2299,CELL.2299,5,Injury_15DPI_rep2_FP200000266TR_E2,2299,5,MSN,inj,V,NO,1179.0,690.0,CCKIN,CCKIN
CELL.2300,CELL.2300,5,Injury_15DPI_rep2_FP200000266TR_E2,2300,5,StriatumIN,inj,V,NO,1177.0,891.0,CMPN,CMPN
CELL.2301,CELL.2301,5,Injury_15DPI_rep2_FP200000266TR_E2,2301,2,StriatumIN,inj,V,NO,1173.0,995.0,CMPN,CMPN
CELL.2302,CELL.2302,2,Injury_15DPI_rep2_FP200000266TR_E2,2302,4,SFRP1RGC,inj,V,NO,1177.0,1194.0,SFRPRGC,SFRPEGC
CELL.2303,CELL.2303,3,Injury_15DPI_rep2_FP200000266TR_E2,2303,14,SCGNIN,uninj,V,NO,1175.0,5056.0,SCGNIN,SCGNIN
CELL.2304,CELL.2304,5,Injury_15DPI_rep2_FP200000266TR_E2,2304,5,MSN,inj,V,NO,1183.0,521.0,CMPN,CMPN
CELL.2305,CELL.2305,1,Injury_15DPI_rep2_FP200000266TR_E2,2305,12,NPYIN,uninj,V,NO,1177.0,3385.0,NPYIN,NPYIN
CELL.2306,CELL.2306,1,Injury_15DPI_rep2_FP200000266TR_E2,2306,2,CMPN,uninj,V,NO,1177.0,3821.0,CMPN,CMPN
CELL.2307,CELL.2307,2,Injury_15DPI_rep2_FP200000266TR_E2,2307,6,WNTRGC,uninj,V,NO,1176.0,4062.0,WNTRGC,WNTEGC
CELL.2308,CELL.2308,2,Injury_15DPI_rep2_FP200000266TR_E2,2308,4,SFRP1RGC,inj,V,NO,1166.0,1250.0,SFRPRGC,SFRPEGC
CELL.2311,CELL.2311,2,Injury_15DPI_rep2_FP200000266TR_E2,2311,6,WNTRGC,uninj,V,NO,1174.0,4208.0,WNTRGC,WNTEGC
CELL.2312,CELL.2312,5,Injury_15DPI_rep2_FP200000266TR_E2,2312,5,StriatumIN,inj,V,NO,1180.0,811.0,CMPN,CMPN
CELL.2314,CELL.2314,1,Injury_15DPI_rep2_FP200000266TR_E2,2314,8,SSTIN,uninj,V,NO,1176.0,3055.0,SSTIN,SSTIN
CELL.2315,CELL.2315,1,Injury_15DPI_rep2_FP200000266TR_E2,2315,2,CMPN,uninj,V,NO,1178.0,3847.0,CMPN,CMPN
CELL.2316,CELL.2316,3,Injury_15DPI_rep2_FP200000266TR_E2,2316,3,DMIN,uninj,V,NO,1176.0,4647.0,MSN,MSN
CELL.2317,CELL.2317,3,Injury_15DPI_rep2_FP200000266TR_E2,2317,3,DMIN,uninj,V,NO,1179.0,5208.0,MSN,MSN
CELL.2318,CELL.2318,0,Injury_15DPI_rep2_FP200000266TR_E2,2318,1,VLMC,inj,V,NO,1179.0,281.0,VLMC,VLMC
CELL.2319,CELL.2319,1,Injury_15DPI_rep2_FP200000266TR_E2,2319,2,CMPN,inj,V,NO,1175.0,2160.0,CMPN,CMPN
CELL.2320,CELL.2320,1,Injury_15DPI_rep2_FP200000266TR_E2,2320,2,CMPN,uninj,V,NO,1177.0,3652.0,CMPN,CMPN
CELL.2321,CELL.2321,1,Injury_15DPI_rep2_FP200000266TR_E2,2321,8,SSTIN,uninj,V,NO,1181.0,4794.0,SSTIN,SSTIN
CELL.2322,CELL.2322,5,Injury_15DPI_rep2_FP200000266TR_E2,2322,5,MSN,inj,V,NO,1183.0,627.0,CMPN,CMPN
CELL.2323,CELL.2323,2,Injury_15DPI_rep2_FP200000266TR_E2,2323,6,WNTRGC,inj,V,NO,1176.0,1541.0,WNTRGC,WNTEGC
CELL.2326,CELL.2326,7,Injury_15DPI_rep2_FP200000266TR_E2,2326,2,CMPN,uninj,V,NO,1189.0,3880.0,CMPN,CMPN
CELL.2327,CELL.2327,3,Injury_15DPI_rep2_FP200000266TR_E2,2327,3,DMIN,uninj,V,NO,1201.0,4894.0,MSN,MSN
CELL.2328,CELL.2328,2,Injury_15DPI_rep2_FP200000266TR_E2,2328,4,SFRP1RGC,inj,V,NO,1182.0,1328.0,SFRPRGC,SFRPEGC
CELL.2330,CELL.2330,2,Injury_15DPI_rep2_FP200000266TR_E2,2330,4,SFRP1RGC,uninj,V,NO,1186.0,4031.0,SFRPRGC,SFRPEGC
CELL.2331,CELL.2331,3,Injury_15DPI_rep2_FP200000266TR_E2,2331,14,SCGNIN,uninj,V,NO,1182.0,4975.0,SCGNIN,SCGNIN
CELL.2332,CELL.2332,3,Injury_15DPI_rep2_FP200000266TR_E2,2332,9,VLMC,uninj,V,NO,1187.0,5114.0,VLMC,VLMC
CELL.2333,CELL.2333,5,Injury_15DPI_rep2_FP200000266TR_E2,2333,5,MSN,inj,V,NO,1185.0,763.0,CCKIN,CCKIN
