,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.1459,CELL.1459,4,Injury_2DPI_rep1_SS200000147BL_D5,1459,0,6087.0,2919.0,inj,D,inj_D_LP,MSN,MSN
CELL.1460,CELL.1460,1,Injury_2DPI_rep1_SS200000147BL_D5,1460,0,6084.0,3073.0,inj,D,inj_D_LP,MSN,MSN
CELL.1461,CELL.1461,1,Injury_2DPI_rep1_SS200000147BL_D5,1461,0,6086.0,3385.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1462,CELL.1462,1,Injury_2DPI_rep1_SS200000147BL_D5,1462,0,6085.0,4049.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1463,CELL.1463,2,Injury_2DPI_rep1_SS200000147BL_D5,1463,12,6091.0,2372.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1464,CELL.1464,5,Injury_2DPI_rep1_SS200000147BL_D5,1464,5,6088.0,3495.0,inj,V,NO,OBNBL,OBNBL
CELL.1465,CELL.1465,9,Injury_2DPI_rep1_SS200000147BL_D5,1465,15,6090.0,1811.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1466,CELL.1466,1,Injury_2DPI_rep1_SS200000147BL_D5,1466,0,6086.0,3203.0,inj,V,NO,MSN,MSN
CELL.1467,CELL.1467,1,Injury_2DPI_rep1_SS200000147BL_D5,1467,0,6082.0,3605.0,inj,V,NO,MSN,MSN
CELL.1468,CELL.1468,1,Injury_2DPI_rep1_SS200000147BL_D5,1468,10,6087.0,3804.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1469,CELL.1469,9,Injury_2DPI_rep1_SS200000147BL_D5,1469,3,6089.0,1748.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1470,CELL.1470,1,Injury_2DPI_rep1_SS200000147BL_D5,1470,0,6088.0,3969.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1471,CELL.1471,4,Injury_2DPI_rep1_SS200000147BL_D5,1471,0,6090.0,2773.0,inj,D,inj_D_LP,MSN,MSN
CELL.1472,CELL.1472,1,Injury_2DPI_rep1_SS200000147BL_D5,1472,0,6086.0,3919.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1473,CELL.1473,8,Injury_2DPI_rep1_SS200000147BL_D5,1473,3,6087.0,1637.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1474,CELL.1474,9,Injury_2DPI_rep1_SS200000147BL_D5,1474,15,6090.0,1774.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1475,CELL.1475,4,Injury_2DPI_rep1_SS200000147BL_D5,1475,8,6093.0,2574.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1476,CELL.1476,4,Injury_2DPI_rep1_SS200000147BL_D5,1476,0,6093.0,3144.0,inj,D,inj_D_LP,MSN,MSN
CELL.1477,CELL.1477,1,Injury_2DPI_rep1_SS200000147BL_D5,1477,10,6094.0,4144.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1478,CELL.1478,2,Injury_2DPI_rep1_SS200000147BL_D5,1478,12,6093.0,2307.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1479,CELL.1479,4,Injury_2DPI_rep1_SS200000147BL_D5,1479,0,6092.0,3100.0,inj,D,inj_D_LP,MSN,MSN
CELL.1480,CELL.1480,1,Injury_2DPI_rep1_SS200000147BL_D5,1480,10,6094.0,3829.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1481,CELL.1481,9,Injury_2DPI_rep1_SS200000147BL_D5,1481,15,6106.0,1466.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1482,CELL.1482,2,Injury_2DPI_rep1_SS200000147BL_D5,1482,7,6095.0,2076.0,inj,D,inj_D_LP,RIBRGC,RIBEGC
CELL.1483,CELL.1483,2,Injury_2DPI_rep1_SS200000147BL_D5,1483,12,6095.0,2207.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1484,CELL.1484,4,Injury_2DPI_rep1_SS200000147BL_D5,1484,0,6097.0,3017.0,inj,D,inj_D_LP,MSN,MSN
CELL.1485,CELL.1485,4,Injury_2DPI_rep1_SS200000147BL_D5,1485,0,6086.0,2874.0,inj,D,inj_D_LP,MSN,MSN
CELL.1486,CELL.1486,1,Injury_2DPI_rep1_SS200000147BL_D5,1486,2,6093.0,4545.0,inj,V,NO,VLMC,VLMC
CELL.1487,CELL.1487,1,Injury_2DPI_rep1_SS200000147BL_D5,1487,0,6095.0,4315.0,inj,V,NO,MSN,MSN
CELL.1488,CELL.1488,9,Injury_2DPI_rep1_SS200000147BL_D5,1488,15,6099.0,1997.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1489,CELL.1489,2,Injury_2DPI_rep1_SS200000147BL_D5,1489,12,6102.0,2344.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1490,CELL.1490,4,Injury_2DPI_rep1_SS200000147BL_D5,1490,0,6099.0,2946.0,inj,D,inj_D_LP,MSN,MSN
CELL.1491,CELL.1491,2,Injury_2DPI_rep1_SS200000147BL_D5,1491,12,6096.0,2413.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1492,CELL.1492,1,Injury_2DPI_rep1_SS200000147BL_D5,1492,0,6106.0,3661.0,inj,V,NO,MSN,MSN
CELL.1493,CELL.1493,0,Injury_2DPI_rep1_SS200000147BL_D5,1493,2,6109.0,4673.0,inj,V,NO,VLMC,VLMC
CELL.1494,CELL.1494,9,Injury_2DPI_rep1_SS200000147BL_D5,1494,15,6106.0,1965.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1495,CELL.1495,2,Injury_2DPI_rep1_SS200000147BL_D5,1495,8,6102.0,2275.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1496,CELL.1496,4,Injury_2DPI_rep1_SS200000147BL_D5,1496,0,6100.0,3252.0,inj,V,NO,MSN,MSN
CELL.1497,CELL.1497,1,Injury_2DPI_rep1_SS200000147BL_D5,1497,0,6105.0,3327.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1498,CELL.1498,1,Injury_2DPI_rep1_SS200000147BL_D5,1498,10,6107.0,3997.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1499,CELL.1499,1,Injury_2DPI_rep1_SS200000147BL_D5,1499,0,6101.0,4099.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1500,CELL.1500,1,Injury_2DPI_rep1_SS200000147BL_D5,1500,0,6102.0,4360.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1501,CELL.1501,0,Injury_2DPI_rep1_SS200000147BL_D5,1501,0,6104.0,4522.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1502,CELL.1502,9,Injury_2DPI_rep1_SS200000147BL_D5,1502,15,6102.0,1553.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1503,CELL.1503,2,Injury_2DPI_rep1_SS200000147BL_D5,1503,8,6102.0,2122.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1504,CELL.1504,2,Injury_2DPI_rep1_SS200000147BL_D5,1504,15,6106.0,2152.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1505,CELL.1505,4,Injury_2DPI_rep1_SS200000147BL_D5,1505,8,6099.0,2700.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1506,CELL.1506,4,Injury_2DPI_rep1_SS200000147BL_D5,1506,0,6103.0,3167.0,inj,D,inj_D_LP,MSN,MSN
CELL.1507,CELL.1507,1,Injury_2DPI_rep1_SS200000147BL_D5,1507,0,6096.0,3724.0,inj,V,NO,MSN,MSN
CELL.1508,CELL.1508,2,Injury_2DPI_rep1_SS200000147BL_D5,1508,8,6102.0,2520.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1509,CELL.1509,4,Injury_2DPI_rep1_SS200000147BL_D5,1509,0,6107.0,2902.0,inj,D,inj_D_LP,MSN,MSN
CELL.1510,CELL.1510,4,Injury_2DPI_rep1_SS200000147BL_D5,1510,0,6109.0,2797.0,inj,D,inj_D_LP,MSN,MSN
CELL.1511,CELL.1511,9,Injury_2DPI_rep1_SS200000147BL_D5,1511,3,6114.0,1722.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1512,CELL.1512,2,Injury_2DPI_rep1_SS200000147BL_D5,1512,8,6107.0,2553.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1513,CELL.1513,4,Injury_2DPI_rep1_SS200000147BL_D5,1513,8,6108.0,2632.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1514,CELL.1514,1,Injury_2DPI_rep1_SS200000147BL_D5,1514,5,6110.0,3458.0,inj,V,NO,OBNBL,OBNBL
CELL.1515,CELL.1515,1,Injury_2DPI_rep1_SS200000147BL_D5,1515,0,6111.0,3039.0,inj,D,inj_D_LP,MSN,MSN
CELL.1516,CELL.1516,4,Injury_2DPI_rep1_SS200000147BL_D5,1516,0,6104.0,2831.0,inj,D,inj_D_LP,MSN,MSN
CELL.1518,CELL.1518,9,Injury_2DPI_rep1_SS200000147BL_D5,1518,15,6109.0,2034.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1519,CELL.1519,2,Injury_2DPI_rep1_SS200000147BL_D5,1519,12,6117.0,2181.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1520,CELL.1520,4,Injury_2DPI_rep1_SS200000147BL_D5,1520,0,6114.0,3189.0,inj,D,inj_D_LP,MSN,MSN
CELL.1521,CELL.1521,4,Injury_2DPI_rep1_SS200000147BL_D5,1521,10,6108.0,3273.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1522,CELL.1522,1,Injury_2DPI_rep1_SS200000147BL_D5,1522,0,6111.0,4242.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1523,CELL.1523,0,Injury_2DPI_rep1_SS200000147BL_D5,1523,2,6103.0,4888.0,inj,V,NO,VLMC,VLMC
CELL.1524,CELL.1524,9,Injury_2DPI_rep1_SS200000147BL_D5,1524,15,6117.0,1616.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1525,CELL.1525,9,Injury_2DPI_rep1_SS200000147BL_D5,1525,15,6118.0,1877.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1526,CELL.1526,4,Injury_2DPI_rep1_SS200000147BL_D5,1526,10,6111.0,3365.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1527,CELL.1527,1,Injury_2DPI_rep1_SS200000147BL_D5,1527,0,6113.0,3413.0,inj,V,NO,MSN,MSN
CELL.1528,CELL.1528,1,Injury_2DPI_rep1_SS200000147BL_D5,1528,0,6113.0,3510.0,inj,V,NO,MSN,MSN
CELL.1529,CELL.1529,1,Injury_2DPI_rep1_SS200000147BL_D5,1529,5,6106.0,4070.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1530,CELL.1530,8,Injury_2DPI_rep1_SS200000147BL_D5,1530,3,6102.0,1692.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1531,CELL.1531,9,Injury_2DPI_rep1_SS200000147BL_D5,1531,15,6111.0,1800.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1532,CELL.1532,1,Injury_2DPI_rep1_SS200000147BL_D5,1532,0,6113.0,3963.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1533,CELL.1533,4,Injury_2DPI_rep1_SS200000147BL_D5,1533,8,6112.0,2741.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1534,CELL.1534,4,Injury_2DPI_rep1_SS200000147BL_D5,1534,0,6113.0,2984.0,inj,D,inj_D_LP,MSN,MSN
CELL.1535,CELL.1535,1,Injury_2DPI_rep1_SS200000147BL_D5,1535,0,6112.0,3215.0,inj,V,NO,MSN,MSN
CELL.1536,CELL.1536,1,Injury_2DPI_rep1_SS200000147BL_D5,1536,10,6108.0,3859.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1537,CELL.1537,9,Injury_2DPI_rep1_SS200000147BL_D5,1537,15,6116.0,1850.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1538,CELL.1538,1,Injury_2DPI_rep1_SS200000147BL_D5,1538,0,6114.0,3585.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1539,CELL.1539,1,Injury_2DPI_rep1_SS200000147BL_D5,1539,10,6115.0,3771.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1540,CELL.1540,1,Injury_2DPI_rep1_SS200000147BL_D5,1540,0,6119.0,4331.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1541,CELL.1541,0,Injury_2DPI_rep1_SS200000147BL_D5,1541,2,6115.0,4607.0,inj,V,NO,VLMC,VLMC
CELL.1542,CELL.1542,9,Injury_2DPI_rep1_SS200000147BL_D5,1542,2,6116.0,1904.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.1543,CELL.1543,4,Injury_2DPI_rep1_SS200000147BL_D5,1543,8,6105.0,2672.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1544,CELL.1544,4,Injury_2DPI_rep1_SS200000147BL_D5,1544,0,6117.0,3292.0,inj,V,NO,MSN,MSN
CELL.1545,CELL.1545,1,Injury_2DPI_rep1_SS200000147BL_D5,1545,0,6113.0,3798.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1546,CELL.1546,1,Injury_2DPI_rep1_SS200000147BL_D5,1546,10,6118.0,3820.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1547,CELL.1547,9,Injury_2DPI_rep1_SS200000147BL_D5,1547,9,6116.0,1530.0,inj,D,inj_D_LP,Microglia,MCG
CELL.1548,CELL.1548,1,Injury_2DPI_rep1_SS200000147BL_D5,1548,0,6110.0,3061.0,inj,D,inj_D_LP,MSN,MSN
CELL.1549,CELL.1549,1,Injury_2DPI_rep1_SS200000147BL_D5,1549,0,6116.0,4151.0,inj,V,NO,MSN,MSN
CELL.1550,CELL.1550,2,Injury_2DPI_rep1_SS200000147BL_D5,1550,12,6119.0,2314.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1551,CELL.1551,0,Injury_2DPI_rep1_SS200000147BL_D5,1551,2,6123.0,4631.0,inj,V,NO,VLMC,VLMC
CELL.1552,CELL.1552,9,Injury_2DPI_rep1_SS200000147BL_D5,1552,15,6121.0,1748.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1553,CELL.1553,9,Injury_2DPI_rep1_SS200000147BL_D5,1553,15,6121.0,1827.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1554,CELL.1554,0,Injury_2DPI_rep1_SS200000147BL_D5,1554,9,6118.0,4924.0,inj,V,NO,VLMC,VLMC
CELL.1555,CELL.1555,2,Injury_2DPI_rep1_SS200000147BL_D5,1555,12,6120.0,2213.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1556,CELL.1556,4,Injury_2DPI_rep1_SS200000147BL_D5,1556,8,6125.0,2571.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1557,CELL.1557,1,Injury_2DPI_rep1_SS200000147BL_D5,1557,0,6124.0,4502.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1558,CELL.1558,2,Injury_2DPI_rep1_SS200000147BL_D5,1558,12,6114.0,2482.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1559,CELL.1559,4,Injury_2DPI_rep1_SS200000147BL_D5,1559,0,6121.0,3115.0,inj,D,inj_D_LP,MSN,MSN
CELL.1560,CELL.1560,1,Injury_2DPI_rep1_SS200000147BL_D5,1560,0,6120.0,4043.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1561,CELL.1561,1,Injury_2DPI_rep1_SS200000147BL_D5,1561,0,6123.0,4206.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1562,CELL.1562,2,Injury_2DPI_rep1_SS200000147BL_D5,1562,12,6129.0,2288.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1563,CELL.1563,4,Injury_2DPI_rep1_SS200000147BL_D5,1563,0,6123.0,2925.0,inj,D,inj_D_LP,MSN,MSN
CELL.1564,CELL.1564,1,Injury_2DPI_rep1_SS200000147BL_D5,1564,0,6121.0,4124.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1565,CELL.1565,2,Injury_2DPI_rep1_SS200000147BL_D5,1565,12,6114.0,2244.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1566,CELL.1566,4,Injury_2DPI_rep1_SS200000147BL_D5,1566,8,6122.0,2596.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1567,CELL.1567,1,Injury_2DPI_rep1_SS200000147BL_D5,1567,0,6120.0,3616.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1568,CELL.1568,1,Injury_2DPI_rep1_SS200000147BL_D5,1568,0,6125.0,3746.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1569,CELL.1569,1,Injury_2DPI_rep1_SS200000147BL_D5,1569,2,6133.0,4562.0,inj,V,NO,VLMC,VLMC
CELL.1570,CELL.1570,4,Injury_2DPI_rep1_SS200000147BL_D5,1570,0,6129.0,3020.0,inj,D,inj_D_LP,MSN,MSN
CELL.1571,CELL.1571,2,Injury_2DPI_rep1_SS200000147BL_D5,1571,7,6131.0,2087.0,inj,D,inj_D_LP,RIBRGC,RIBEGC
CELL.1572,CELL.1572,4,Injury_2DPI_rep1_SS200000147BL_D5,1572,0,6126.0,2958.0,inj,D,inj_D_LP,MSN,MSN
CELL.1573,CELL.1573,0,Injury_2DPI_rep1_SS200000147BL_D5,1573,9,6125.0,4945.0,inj,V,NO,VLMC,VLMC
CELL.1574,CELL.1574,2,Injury_2DPI_rep1_SS200000147BL_D5,1574,15,6125.0,2112.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1575,CELL.1575,4,Injury_2DPI_rep1_SS200000147BL_D5,1575,8,6126.0,2711.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1576,CELL.1576,4,Injury_2DPI_rep1_SS200000147BL_D5,1576,0,6129.0,3143.0,inj,D,inj_D_LP,MSN,MSN
CELL.1577,CELL.1577,4,Injury_2DPI_rep1_SS200000147BL_D5,1577,0,6128.0,3239.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1578,CELL.1578,1,Injury_2DPI_rep1_SS200000147BL_D5,1578,0,6130.0,3488.0,inj,V,NO,MSN,MSN
CELL.1579,CELL.1579,2,Injury_2DPI_rep1_SS200000147BL_D5,1579,15,6132.0,2138.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1580,CELL.1580,2,Injury_2DPI_rep1_SS200000147BL_D5,1580,12,6127.0,2398.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1581,CELL.1581,4,Injury_2DPI_rep1_SS200000147BL_D5,1581,8,6134.0,2777.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1582,CELL.1582,1,Injury_2DPI_rep1_SS200000147BL_D5,1582,0,6128.0,3899.0,inj,V,NO,MSN,MSN
CELL.1583,CELL.1583,4,Injury_2DPI_rep1_SS200000147BL_D5,1583,8,6128.0,2650.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1584,CELL.1584,1,Injury_2DPI_rep1_SS200000147BL_D5,1584,0,6129.0,3638.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1585,CELL.1585,9,Injury_2DPI_rep1_SS200000147BL_D5,1585,15,6126.0,1578.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1586,CELL.1586,9,Injury_2DPI_rep1_SS200000147BL_D5,1586,15,6135.0,1776.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1587,CELL.1587,9,Injury_2DPI_rep1_SS200000147BL_D5,1587,15,6131.0,1635.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1588,CELL.1588,2,Injury_2DPI_rep1_SS200000147BL_D5,1588,8,6135.0,2520.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1589,CELL.1589,4,Injury_2DPI_rep1_SS200000147BL_D5,1589,0,6134.0,2839.0,inj,D,inj_D_LP,MSN,MSN
CELL.1590,CELL.1590,1,Injury_2DPI_rep1_SS200000147BL_D5,1590,0,6134.0,3308.0,inj,V,NO,MSN,MSN
CELL.1591,CELL.1591,1,Injury_2DPI_rep1_SS200000147BL_D5,1591,10,6134.0,3450.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1592,CELL.1592,9,Injury_2DPI_rep1_SS200000147BL_D5,1592,15,6132.0,2031.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1593,CELL.1593,1,Injury_2DPI_rep1_SS200000147BL_D5,1593,0,6139.0,3397.0,inj,V,NO,MSN,MSN
CELL.1594,CELL.1594,2,Injury_2DPI_rep1_SS200000147BL_D5,1594,15,6130.0,2061.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1595,CELL.1595,4,Injury_2DPI_rep1_SS200000147BL_D5,1595,0,6136.0,2810.0,inj,D,inj_D_LP,MSN,MSN
CELL.1596,CELL.1596,1,Injury_2DPI_rep1_SS200000147BL_D5,1596,0,6138.0,3664.0,inj,V,NO,MSN,MSN
CELL.1597,CELL.1597,1,Injury_2DPI_rep1_SS200000147BL_D5,1597,10,6143.0,4231.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1598,CELL.1598,1,Injury_2DPI_rep1_SS200000147BL_D5,1598,10,6133.0,4365.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1599,CELL.1599,1,Injury_2DPI_rep1_SS200000147BL_D5,1599,0,6139.0,3543.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1600,CELL.1600,1,Injury_2DPI_rep1_SS200000147BL_D5,1600,0,6136.0,4297.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1601,CELL.1601,4,Injury_2DPI_rep1_SS200000147BL_D5,1601,0,6140.0,3170.0,inj,D,inj_D_LP,MSN,MSN
CELL.1602,CELL.1602,4,Injury_2DPI_rep1_SS200000147BL_D5,1602,10,6137.0,3262.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1603,CELL.1603,4,Injury_2DPI_rep1_SS200000147BL_D5,1603,0,6142.0,3213.0,inj,V,NO,MSN,MSN
CELL.1604,CELL.1604,1,Injury_2DPI_rep1_SS200000147BL_D5,1604,0,6145.0,3690.0,inj,V,NO,MSN,MSN
CELL.1605,CELL.1605,1,Injury_2DPI_rep1_SS200000147BL_D5,1605,10,6147.0,4003.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1606,CELL.1606,1,Injury_2DPI_rep1_SS200000147BL_D5,1606,0,6138.0,4149.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1607,CELL.1607,9,Injury_2DPI_rep1_SS200000147BL_D5,1607,15,6155.0,1471.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1608,CELL.1608,9,Injury_2DPI_rep1_SS200000147BL_D5,1608,15,6142.0,1673.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1609,CELL.1609,9,Injury_2DPI_rep1_SS200000147BL_D5,1609,15,6136.0,1978.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1610,CELL.1610,2,Injury_2DPI_rep1_SS200000147BL_D5,1610,12,6147.0,2333.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1611,CELL.1611,4,Injury_2DPI_rep1_SS200000147BL_D5,1611,0,6139.0,3337.0,inj,V,NO,MSN,MSN
CELL.1612,CELL.1612,4,Injury_2DPI_rep1_SS200000147BL_D5,1612,0,6139.0,3364.0,inj,V,NO,MSN,MSN
CELL.1613,CELL.1613,0,Injury_2DPI_rep1_SS200000147BL_D5,1613,3,6142.0,4444.0,inj,V,NO,VLMC,VLMC
CELL.1614,CELL.1614,0,Injury_2DPI_rep1_SS200000147BL_D5,1614,9,6137.0,4908.0,inj,V,NO,VLMC,VLMC
CELL.1615,CELL.1615,2,Injury_2DPI_rep1_SS200000147BL_D5,1615,12,6145.0,2226.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1616,CELL.1616,4,Injury_2DPI_rep1_SS200000147BL_D5,1616,0,6132.0,2868.0,inj,D,inj_D_LP,MSN,MSN
CELL.1617,CELL.1617,4,Injury_2DPI_rep1_SS200000147BL_D5,1617,0,6146.0,3099.0,inj,D,inj_D_LP,MSN,MSN
CELL.1618,CELL.1618,9,Injury_2DPI_rep1_SS200000147BL_D5,1618,15,6146.0,1536.0,inj,D,inj_D_LP,REARGC,WSN
CELL.1619,CELL.1619,4,Injury_2DPI_rep1_SS200000147BL_D5,1619,0,6143.0,2998.0,inj,D,inj_D_LP,MSN,MSN
CELL.1620,CELL.1620,4,Injury_2DPI_rep1_SS200000147BL_D5,1620,0,6143.0,3050.0,inj,D,inj_D_LP,MSN,MSN
CELL.1621,CELL.1621,1,Injury_2DPI_rep1_SS200000147BL_D5,1621,10,6143.0,3963.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1622,CELL.1622,6,Injury_2DPI_rep1_SS200000147BL_D5,1622,2,6129.0,4719.0,inj,V,NO,VLMC,VLMC
CELL.1623,CELL.1623,9,Injury_2DPI_rep1_SS200000147BL_D5,1623,15,6146.0,1849.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1624,CELL.1624,9,Injury_2DPI_rep1_SS200000147BL_D5,1624,15,6139.0,2004.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1625,CELL.1625,2,Injury_2DPI_rep1_SS200000147BL_D5,1625,12,6145.0,2443.0,inj,D,inj_D_LP,SFRPRGC,SFRPEGC
CELL.1626,CELL.1626,4,Injury_2DPI_rep1_SS200000147BL_D5,1626,0,6139.0,2894.0,inj,D,inj_D_LP,MSN,MSN
CELL.1627,CELL.1627,1,Injury_2DPI_rep1_SS200000147BL_D5,1627,10,6143.0,4259.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1628,CELL.1628,9,Injury_2DPI_rep1_SS200000147BL_D5,1628,15,6144.0,1870.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1629,CELL.1629,4,Injury_2DPI_rep1_SS200000147BL_D5,1629,0,6152.0,2918.0,inj,D,inj_D_LP,MSN,MSN
CELL.1630,CELL.1630,1,Injury_2DPI_rep1_SS200000147BL_D5,1630,0,6146.0,4063.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1631,CELL.1631,1,Injury_2DPI_rep1_SS200000147BL_D5,1631,10,6146.0,3845.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1633,CELL.1633,9,Injury_2DPI_rep1_SS200000147BL_D5,1633,15,6148.0,1819.0,inj,D,inj_D_LP,REARGC,REAEGC
CELL.1634,CELL.1634,2,Injury_2DPI_rep1_SS200000147BL_D5,1634,8,6148.0,2622.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1635,CELL.1635,1,Injury_2DPI_rep1_SS200000147BL_D5,1635,0,6147.0,4527.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1636,CELL.1636,4,Injury_2DPI_rep1_SS200000147BL_D5,1636,8,6146.0,2739.0,inj,D,inj_D_LP,DIPC,TLNBL
CELL.1637,CELL.1637,4,Injury_2DPI_rep1_SS200000147BL_D5,1637,0,6149.0,3071.0,inj,D,inj_D_LP,MSN,MSN
CELL.1638,CELL.1638,1,Injury_2DPI_rep1_SS200000147BL_D5,1638,0,6149.0,4197.0,inj,V,NO,SCGNIN,SCGNIN
CELL.1639,CELL.1639,1,Injury_2DPI_rep1_SS200000147BL_D5,1639,0,6150.0,4486.0,inj,V,NO,MSN,MSN
CELL.1640,CELL.1640,4,Injury_2DPI_rep1_SS200000147BL_D5,1640,0,6162.0,3121.0,inj,D,inj_D_LP,MSN,MSN
CELL.1641,CELL.1641,1,Injury_2DPI_rep1_SS200000147BL_D5,1641,0,6148.0,3711.0,inj,V,NO,MSN,MSN
