,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.2615,CELL.2615,5,Injury_20DPI_rep3_SS200000147BL_B5,2615,5,1504.0,4064.0,uninj,D,WNTRGC,WNTEGC
CELL.2616,CELL.2616,3,Injury_20DPI_rep3_SS200000147BL_B5,2616,1,1509.0,1478.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2617,CELL.2617,5,Injury_20DPI_rep3_SS200000147BL_B5,2617,8,1511.0,4225.0,uninj,D,DPEX,DPEX
CELL.2618,CELL.2618,2,Injury_20DPI_rep3_SS200000147BL_B5,2618,12,1504.0,565.0,uninj,V,SSTIN,SSTIN
CELL.2620,CELL.2620,7,Injury_20DPI_rep3_SS200000147BL_B5,2620,8,1504.0,4482.0,uninj,D,DPEX,DPEX
CELL.2621,CELL.2621,5,Injury_20DPI_rep3_SS200000147BL_B5,2621,8,1510.0,4122.0,uninj,D,DPEX,DPEX
CELL.2622,CELL.2622,0,Injury_20DPI_rep3_SS200000147BL_B5,2622,2,1506.0,897.0,uninj,V,CCKIN,CCKIN
CELL.2623,CELL.2623,0,Injury_20DPI_rep3_SS200000147BL_B5,2623,2,1500.0,629.0,uninj,V,CCKIN,CCKIN
CELL.2624,CELL.2624,3,Injury_20DPI_rep3_SS200000147BL_B5,2624,1,1509.0,1499.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2625,CELL.2625,6,Injury_20DPI_rep3_SS200000147BL_B5,2625,5,1512.0,4041.0,uninj,D,WNTRGC,WNTEGC
CELL.2626,CELL.2626,3,Injury_20DPI_rep3_SS200000147BL_B5,2626,1,1511.0,1452.0,uninj,V,DIPC,TLNBL
CELL.2627,CELL.2627,0,Injury_20DPI_rep3_SS200000147BL_B5,2627,2,1514.0,931.0,uninj,V,CCKIN,CCKIN
CELL.2628,CELL.2628,0,Injury_20DPI_rep3_SS200000147BL_B5,2628,0,1508.0,1269.0,uninj,V,DIPC,TLNBL
CELL.2630,CELL.2630,5,Injury_20DPI_rep3_SS200000147BL_B5,2630,8,1518.0,4167.0,uninj,D,DPEX,DPEX
CELL.2631,CELL.2631,5,Injury_20DPI_rep3_SS200000147BL_B5,2631,8,1515.0,4181.0,uninj,D,DPEX,DPEX
CELL.2632,CELL.2632,6,Injury_20DPI_rep3_SS200000147BL_B5,2632,5,1520.0,4016.0,uninj,D,WNTRGC,WNTEGC
CELL.2633,CELL.2633,0,Injury_20DPI_rep3_SS200000147BL_B5,2633,2,1519.0,1066.0,uninj,V,CCKIN,CCKIN
CELL.2634,CELL.2634,5,Injury_20DPI_rep3_SS200000147BL_B5,2634,8,1529.0,4282.0,uninj,D,DPEX,DPEX
CELL.2635,CELL.2635,5,Injury_20DPI_rep3_SS200000147BL_B5,2635,8,1518.0,4364.0,uninj,D,DPEX,DPEX
CELL.2636,CELL.2636,0,Injury_20DPI_rep3_SS200000147BL_B5,2636,15,1520.0,604.0,uninj,V,CMPN,CMPN
CELL.2637,CELL.2637,0,Injury_20DPI_rep3_SS200000147BL_B5,2637,2,1525.0,681.0,uninj,V,CCKIN,CCKIN
CELL.2638,CELL.2638,0,Injury_20DPI_rep3_SS200000147BL_B5,2638,2,1514.0,980.0,uninj,V,CCKIN,CCKIN
CELL.2639,CELL.2639,0,Injury_20DPI_rep3_SS200000147BL_B5,2639,2,1520.0,1174.0,uninj,V,CCKIN,CCKIN
CELL.2641,CELL.2641,3,Injury_20DPI_rep3_SS200000147BL_B5,2641,1,1520.0,1371.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2642,CELL.2642,1,Injury_20DPI_rep3_SS200000147BL_B5,2642,2,1523.0,838.0,uninj,V,CCKIN,CCKIN
CELL.2643,CELL.2643,5,Injury_20DPI_rep3_SS200000147BL_B5,2643,8,1526.0,4090.0,uninj,D,DPEX,DPEX
CELL.2644,CELL.2644,1,Injury_20DPI_rep3_SS200000147BL_B5,2644,3,1518.0,4987.0,uninj,D,VLMC,VLMC
CELL.2645,CELL.2645,5,Injury_20DPI_rep3_SS200000147BL_B5,2645,10,1526.0,4583.0,uninj,D,DPEX,DPEX
CELL.2646,CELL.2646,5,Injury_20DPI_rep3_SS200000147BL_B5,2646,8,1519.0,4332.0,uninj,D,DPEX,DPEX
CELL.2647,CELL.2647,0,Injury_20DPI_rep3_SS200000147BL_B5,2647,0,1526.0,1237.0,uninj,V,DIPC,TLNBL
CELL.2648,CELL.2648,1,Injury_20DPI_rep3_SS200000147BL_B5,2648,3,1525.0,2908.0,uninj,D,VLMC,VLMC
CELL.2649,CELL.2649,6,Injury_20DPI_rep3_SS200000147BL_B5,2649,1,1527.0,3934.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2650,CELL.2650,0,Injury_20DPI_rep3_SS200000147BL_B5,2650,2,1528.0,1091.0,uninj,V,CCKIN,CCKIN
CELL.2651,CELL.2651,0,Injury_20DPI_rep3_SS200000147BL_B5,2651,2,1529.0,1149.0,uninj,V,CCKIN,CCKIN
CELL.2652,CELL.2652,3,Injury_20DPI_rep3_SS200000147BL_B5,2652,1,1537.0,1340.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2653,CELL.2653,8,Injury_20DPI_rep3_SS200000147BL_B5,2653,1,1530.0,1399.0,uninj,V,DIPC,TLNBL
CELL.2654,CELL.2654,6,Injury_20DPI_rep3_SS200000147BL_B5,2654,5,1526.0,3956.0,uninj,D,WNTRGC,WNTEGC
CELL.2655,CELL.2655,5,Injury_20DPI_rep3_SS200000147BL_B5,2655,8,1531.0,4204.0,uninj,D,DPEX,DPEX
CELL.2656,CELL.2656,0,Injury_20DPI_rep3_SS200000147BL_B5,2656,2,1528.0,1197.0,uninj,V,CCKIN,CCKIN
CELL.2657,CELL.2657,3,Injury_20DPI_rep3_SS200000147BL_B5,2657,1,1530.0,1460.0,uninj,V,DIPC,TLNBL
CELL.2658,CELL.2658,1,Injury_20DPI_rep3_SS200000147BL_B5,2658,1,1527.0,1556.0,uninj,V,DIPC,TLNBL
CELL.2661,CELL.2661,3,Injury_20DPI_rep3_SS200000147BL_B5,2661,1,1533.0,1435.0,uninj,V,DIPC,TLNBL
CELL.2662,CELL.2662,0,Injury_20DPI_rep3_SS200000147BL_B5,2662,2,1533.0,1001.0,uninj,V,CCKIN,CCKIN
CELL.2663,CELL.2663,3,Injury_20DPI_rep3_SS200000147BL_B5,2663,1,1529.0,1533.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2664,CELL.2664,1,Injury_20DPI_rep3_SS200000147BL_B5,2664,11,1538.0,121.0,uninj,V,VLMC,VLMC
CELL.2665,CELL.2665,3,Injury_20DPI_rep3_SS200000147BL_B5,2665,1,1539.0,1488.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2666,CELL.2666,6,Injury_20DPI_rep3_SS200000147BL_B5,2666,1,1533.0,3997.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2667,CELL.2667,6,Injury_20DPI_rep3_SS200000147BL_B5,2667,5,1535.0,4036.0,uninj,D,WNTRGC,WNTEGC
CELL.2668,CELL.2668,5,Injury_20DPI_rep3_SS200000147BL_B5,2668,8,1536.0,4243.0,uninj,D,DPEX,DPEX
CELL.2669,CELL.2669,0,Injury_20DPI_rep3_SS200000147BL_B5,2669,2,1538.0,901.0,uninj,V,CCKIN,CCKIN
CELL.2671,CELL.2671,5,Injury_20DPI_rep3_SS200000147BL_B5,2671,8,1540.0,4171.0,uninj,D,DPEX,DPEX
CELL.2672,CELL.2672,5,Injury_20DPI_rep3_SS200000147BL_B5,2672,3,1538.0,4665.0,uninj,D,VLMC,VLMC
CELL.2674,CELL.2674,0,Injury_20DPI_rep3_SS200000147BL_B5,2674,2,1544.0,642.0,uninj,V,CCKIN,CCKIN
CELL.2675,CELL.2675,3,Injury_20DPI_rep3_SS200000147BL_B5,2675,1,1539.0,1266.0,uninj,V,DIPC,TLNBL
CELL.2676,CELL.2676,0,Injury_20DPI_rep3_SS200000147BL_B5,2676,2,1538.0,1035.0,uninj,V,CCKIN,CCKIN
CELL.2677,CELL.2677,0,Injury_20DPI_rep3_SS200000147BL_B5,2677,2,1536.0,1118.0,uninj,V,CCKIN,CCKIN
CELL.2678,CELL.2678,6,Injury_20DPI_rep3_SS200000147BL_B5,2678,5,1537.0,4062.0,uninj,D,WNTRGC,WNTEGC
CELL.2679,CELL.2679,5,Injury_20DPI_rep3_SS200000147BL_B5,2679,8,1544.0,4142.0,uninj,D,DPEX,DPEX
CELL.2680,CELL.2680,5,Injury_20DPI_rep3_SS200000147BL_B5,2680,10,1542.0,4457.0,uninj,D,DPEX,DPEX
CELL.2681,CELL.2681,2,Injury_20DPI_rep3_SS200000147BL_B5,2681,7,1539.0,580.0,uninj,V,CMPN,CMPN
CELL.2682,CELL.2682,3,Injury_20DPI_rep3_SS200000147BL_B5,2682,1,1542.0,1307.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2683,CELL.2683,5,Injury_20DPI_rep3_SS200000147BL_B5,2683,10,1544.0,4554.0,uninj,D,DPEX,DPEX
CELL.2684,CELL.2684,3,Injury_20DPI_rep3_SS200000147BL_B5,2684,1,1549.0,1226.0,uninj,V,DIPC,TLNBL
CELL.2685,CELL.2685,5,Injury_20DPI_rep3_SS200000147BL_B5,2685,8,1548.0,4110.0,uninj,D,DPEX,DPEX
CELL.2686,CELL.2686,2,Injury_20DPI_rep3_SS200000147BL_B5,2686,7,1549.0,540.0,uninj,V,CMPN,CMPN
CELL.2687,CELL.2687,0,Injury_20DPI_rep3_SS200000147BL_B5,2687,7,1547.0,613.0,uninj,V,CMPN,CMPN
CELL.2688,CELL.2688,0,Injury_20DPI_rep3_SS200000147BL_B5,2688,2,1551.0,1076.0,uninj,V,CCKIN,CCKIN
CELL.2689,CELL.2689,5,Injury_20DPI_rep3_SS200000147BL_B5,2689,8,1552.0,4224.0,uninj,D,DPEX,DPEX
CELL.2690,CELL.2690,0,Injury_20DPI_rep3_SS200000147BL_B5,2690,2,1554.0,1141.0,uninj,V,CCKIN,CCKIN
CELL.2691,CELL.2691,3,Injury_20DPI_rep3_SS200000147BL_B5,2691,1,1558.0,1271.0,uninj,V,DIPC,TLNBL
CELL.2692,CELL.2692,3,Injury_20DPI_rep3_SS200000147BL_B5,2692,1,1558.0,1414.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2693,CELL.2693,3,Injury_20DPI_rep3_SS200000147BL_B5,2693,1,1561.0,1448.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2694,CELL.2694,0,Injury_20DPI_rep3_SS200000147BL_B5,2694,2,1558.0,928.0,uninj,V,CCKIN,CCKIN
CELL.2695,CELL.2695,3,Injury_20DPI_rep3_SS200000147BL_B5,2695,1,1558.0,1314.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2696,CELL.2696,5,Injury_20DPI_rep3_SS200000147BL_B5,2696,10,1554.0,4615.0,uninj,D,DPEX,DPEX
CELL.2697,CELL.2697,6,Injury_20DPI_rep3_SS200000147BL_B5,2697,1,1560.0,4028.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2698,CELL.2698,0,Injury_20DPI_rep3_SS200000147BL_B5,2698,2,1563.0,1113.0,uninj,V,CCKIN,CCKIN
CELL.2699,CELL.2699,5,Injury_20DPI_rep3_SS200000147BL_B5,2699,8,1563.0,4206.0,uninj,D,DPEX,DPEX
CELL.2700,CELL.2700,0,Injury_20DPI_rep3_SS200000147BL_B5,2700,2,1561.0,989.0,uninj,V,CCKIN,CCKIN
CELL.2701,CELL.2701,5,Injury_20DPI_rep3_SS200000147BL_B5,2701,8,1563.0,4378.0,uninj,D,DPEX,DPEX
CELL.2702,CELL.2702,5,Injury_20DPI_rep3_SS200000147BL_B5,2702,8,1566.0,4410.0,uninj,D,DPEX,DPEX
CELL.2703,CELL.2703,0,Injury_20DPI_rep3_SS200000147BL_B5,2703,2,1560.0,687.0,uninj,V,CCKIN,CCKIN
CELL.2704,CELL.2704,1,Injury_20DPI_rep3_SS200000147BL_B5,2704,2,1564.0,766.0,uninj,V,CCKIN,CCKIN
CELL.2705,CELL.2705,3,Injury_20DPI_rep3_SS200000147BL_B5,2705,1,1559.0,1376.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2706,CELL.2706,3,Injury_20DPI_rep3_SS200000147BL_B5,2706,1,1565.0,1476.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2707,CELL.2707,6,Injury_20DPI_rep3_SS200000147BL_B5,2707,1,1563.0,3952.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2708,CELL.2708,5,Injury_20DPI_rep3_SS200000147BL_B5,2708,8,1568.0,4184.0,uninj,D,DPEX,DPEX
CELL.2710,CELL.2710,5,Injury_20DPI_rep3_SS200000147BL_B5,2710,8,1574.0,4341.0,uninj,D,DPEX,DPEX
CELL.2712,CELL.2712,5,Injury_20DPI_rep3_SS200000147BL_B5,2712,8,1576.0,4129.0,uninj,D,DPEX,DPEX
CELL.2713,CELL.2713,0,Injury_20DPI_rep3_SS200000147BL_B5,2713,2,1570.0,842.0,uninj,V,CCKIN,CCKIN
CELL.2714,CELL.2714,5,Injury_20DPI_rep3_SS200000147BL_B5,2714,8,1570.0,4157.0,uninj,D,DPEX,DPEX
CELL.2715,CELL.2715,5,Injury_20DPI_rep3_SS200000147BL_B5,2715,8,1571.0,4253.0,uninj,D,DPEX,DPEX
CELL.2716,CELL.2716,5,Injury_20DPI_rep3_SS200000147BL_B5,2716,8,1572.0,4303.0,uninj,D,DPEX,DPEX
CELL.2717,CELL.2717,1,Injury_20DPI_rep3_SS200000147BL_B5,2717,3,1569.0,4988.0,uninj,D,VLMC,VLMC
CELL.2718,CELL.2718,0,Injury_20DPI_rep3_SS200000147BL_B5,2718,2,1575.0,867.0,uninj,V,CCKIN,CCKIN
CELL.2719,CELL.2719,3,Injury_20DPI_rep3_SS200000147BL_B5,2719,5,1558.0,3919.0,uninj,D,WNTRGC,WNTEGC
CELL.2720,CELL.2720,0,Injury_20DPI_rep3_SS200000147BL_B5,2720,2,1574.0,957.0,uninj,V,CCKIN,CCKIN
CELL.2721,CELL.2721,0,Injury_20DPI_rep3_SS200000147BL_B5,2721,2,1574.0,1046.0,uninj,V,CCKIN,CCKIN
CELL.2722,CELL.2722,1,Injury_20DPI_rep3_SS200000147BL_B5,2722,3,1573.0,3865.0,uninj,D,CP,CP
CELL.2723,CELL.2723,0,Injury_20DPI_rep3_SS200000147BL_B5,2723,2,1577.0,1024.0,uninj,V,CCKIN,CCKIN
CELL.2724,CELL.2724,3,Injury_20DPI_rep3_SS200000147BL_B5,2724,1,1576.0,1337.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2725,CELL.2725,6,Injury_20DPI_rep3_SS200000147BL_B5,2725,1,1582.0,3996.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2726,CELL.2726,8,Injury_20DPI_rep3_SS200000147BL_B5,2726,1,1571.0,1171.0,uninj,V,DIPC,TLNBL
CELL.2727,CELL.2727,2,Injury_20DPI_rep3_SS200000147BL_B5,2727,7,1573.0,591.0,uninj,V,CMPN,CMPN
CELL.2728,CELL.2728,0,Injury_20DPI_rep3_SS200000147BL_B5,2728,2,1583.0,887.0,uninj,V,CCKIN,CCKIN
CELL.2729,CELL.2729,3,Injury_20DPI_rep3_SS200000147BL_B5,2729,1,1578.0,1362.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2730,CELL.2730,3,Injury_20DPI_rep3_SS200000147BL_B5,2730,1,1581.0,1433.0,uninj,V,DIPC,TLNBL
CELL.2731,CELL.2731,5,Injury_20DPI_rep3_SS200000147BL_B5,2731,5,1571.0,4095.0,uninj,D,WNTRGC,WNTEGC
CELL.2732,CELL.2732,0,Injury_20DPI_rep3_SS200000147BL_B5,2732,2,1580.0,822.0,uninj,V,CCKIN,CCKIN
CELL.2733,CELL.2733,0,Injury_20DPI_rep3_SS200000147BL_B5,2733,2,1579.0,1135.0,uninj,V,CCKIN,CCKIN
CELL.2734,CELL.2734,3,Injury_20DPI_rep3_SS200000147BL_B5,2734,1,1577.0,1268.0,uninj,V,DIPC,TLNBL
CELL.2735,CELL.2735,6,Injury_20DPI_rep3_SS200000147BL_B5,2735,5,1588.0,3963.0,uninj,D,WNTRGC,WNTEGC
CELL.2736,CELL.2736,3,Injury_20DPI_rep3_SS200000147BL_B5,2736,1,1583.0,1313.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2737,CELL.2737,6,Injury_20DPI_rep3_SS200000147BL_B5,2737,5,1580.0,4062.0,uninj,D,WNTRGC,WNTEGC
CELL.2738,CELL.2738,5,Injury_20DPI_rep3_SS200000147BL_B5,2738,8,1579.0,4277.0,uninj,D,DPEX,DPEX
CELL.2739,CELL.2739,2,Injury_20DPI_rep3_SS200000147BL_B5,2739,7,1584.0,616.0,uninj,V,CMPN,CMPN
CELL.2740,CELL.2740,0,Injury_20DPI_rep3_SS200000147BL_B5,2740,2,1587.0,723.0,uninj,V,CCKIN,CCKIN
CELL.2741,CELL.2741,6,Injury_20DPI_rep3_SS200000147BL_B5,2741,5,1594.0,4022.0,uninj,D,WNTRGC,WNTEGC
CELL.2742,CELL.2742,0,Injury_20DPI_rep3_SS200000147BL_B5,2742,2,1587.0,654.0,uninj,V,CCKIN,CCKIN
CELL.2743,CELL.2743,5,Injury_20DPI_rep3_SS200000147BL_B5,2743,8,1584.0,4442.0,uninj,D,DPEX,DPEX
CELL.2744,CELL.2744,3,Injury_20DPI_rep3_SS200000147BL_B5,2744,1,1580.0,1505.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2745,CELL.2745,1,Injury_20DPI_rep3_SS200000147BL_B5,2745,3,1589.0,536.0,uninj,V,VLMC,VLMC
CELL.2746,CELL.2746,0,Injury_20DPI_rep3_SS200000147BL_B5,2746,2,1585.0,1077.0,uninj,V,CCKIN,CCKIN
CELL.2747,CELL.2747,5,Injury_20DPI_rep3_SS200000147BL_B5,2747,8,1591.0,4191.0,uninj,D,DPEX,DPEX
CELL.2748,CELL.2748,0,Injury_20DPI_rep3_SS200000147BL_B5,2748,2,1590.0,929.0,uninj,V,CCKIN,CCKIN
CELL.2749,CELL.2749,1,Injury_20DPI_rep3_SS200000147BL_B5,2749,8,1591.0,4587.0,uninj,D,DPEX,DPEX
CELL.2751,CELL.2751,0,Injury_20DPI_rep3_SS200000147BL_B5,2751,2,1592.0,979.0,uninj,V,CCKIN,CCKIN
CELL.2752,CELL.2752,8,Injury_20DPI_rep3_SS200000147BL_B5,2752,1,1590.0,1190.0,uninj,V,DIPC,TLNBL
CELL.2753,CELL.2753,3,Injury_20DPI_rep3_SS200000147BL_B5,2753,1,1608.0,1403.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2755,CELL.2755,5,Injury_20DPI_rep3_SS200000147BL_B5,2755,8,1592.0,4226.0,uninj,D,DPEX,DPEX
CELL.2756,CELL.2756,1,Injury_20DPI_rep3_SS200000147BL_B5,2756,3,1594.0,5030.0,uninj,D,VLMC,VLMC
CELL.2757,CELL.2757,3,Injury_20DPI_rep3_SS200000147BL_B5,2757,1,1595.0,1382.0,uninj,V,DIPC,TLNBL
CELL.2758,CELL.2758,0,Injury_20DPI_rep3_SS200000147BL_B5,2758,2,1597.0,688.0,uninj,V,CCKIN,CCKIN
CELL.2759,CELL.2759,3,Injury_20DPI_rep3_SS200000147BL_B5,2759,1,1602.0,1253.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2760,CELL.2760,1,Injury_20DPI_rep3_SS200000147BL_B5,2760,1,1592.0,3870.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2761,CELL.2761,3,Injury_20DPI_rep3_SS200000147BL_B5,2761,1,1593.0,3928.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2762,CELL.2762,5,Injury_20DPI_rep3_SS200000147BL_B5,2762,8,1595.0,4171.0,uninj,D,DPEX,DPEX
CELL.2763,CELL.2763,0,Injury_20DPI_rep3_SS200000147BL_B5,2763,2,1595.0,1009.0,uninj,V,CCKIN,CCKIN
CELL.2764,CELL.2764,5,Injury_20DPI_rep3_SS200000147BL_B5,2764,10,1597.0,4532.0,uninj,D,DPEX,DPEX
CELL.2765,CELL.2765,0,Injury_20DPI_rep3_SS200000147BL_B5,2765,2,1599.0,780.0,uninj,V,CCKIN,CCKIN
CELL.2766,CELL.2766,1,Injury_20DPI_rep3_SS200000147BL_B5,2766,12,1597.0,4615.0,uninj,D,SSTIN,SSTIN
CELL.2767,CELL.2767,0,Injury_20DPI_rep3_SS200000147BL_B5,2767,2,1593.0,1107.0,uninj,V,CCKIN,CCKIN
CELL.2768,CELL.2768,3,Injury_20DPI_rep3_SS200000147BL_B5,2768,1,1596.0,1354.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2769,CELL.2769,0,Injury_20DPI_rep3_SS200000147BL_B5,2769,2,1600.0,1028.0,uninj,V,CCKIN,CCKIN
CELL.2770,CELL.2770,3,Injury_20DPI_rep3_SS200000147BL_B5,2770,1,1593.0,1456.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2771,CELL.2771,0,Injury_20DPI_rep3_SS200000147BL_B5,2771,2,1600.0,827.0,uninj,V,CCKIN,CCKIN
CELL.2772,CELL.2772,3,Injury_20DPI_rep3_SS200000147BL_B5,2772,1,1600.0,1301.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2773,CELL.2773,3,Injury_20DPI_rep3_SS200000147BL_B5,2773,1,1602.0,1332.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2774,CELL.2774,5,Injury_20DPI_rep3_SS200000147BL_B5,2774,8,1603.0,4258.0,uninj,D,DPEX,DPEX
CELL.2775,CELL.2775,6,Injury_20DPI_rep3_SS200000147BL_B5,2775,1,1611.0,4092.0,uninj,D,SFRPRGC,SFRPEGC
CELL.2776,CELL.2776,5,Injury_20DPI_rep3_SS200000147BL_B5,2776,8,1599.0,4307.0,uninj,D,DPEX,DPEX
CELL.2777,CELL.2777,1,Injury_20DPI_rep3_SS200000147BL_B5,2777,3,1613.0,1625.0,uninj,V,VLMC,VLMC
CELL.2778,CELL.2778,0,Injury_20DPI_rep3_SS200000147BL_B5,2778,2,1607.0,895.0,uninj,V,CCKIN,CCKIN
CELL.2779,CELL.2779,3,Injury_20DPI_rep3_SS200000147BL_B5,2779,1,1603.0,1213.0,uninj,V,DIPC,TLNBL
CELL.2780,CELL.2780,5,Injury_20DPI_rep3_SS200000147BL_B5,2780,8,1608.0,4139.0,uninj,D,DPEX,DPEX
CELL.2781,CELL.2781,5,Injury_20DPI_rep3_SS200000147BL_B5,2781,8,1609.0,4207.0,uninj,D,DPEX,DPEX
CELL.2782,CELL.2782,1,Injury_20DPI_rep3_SS200000147BL_B5,2782,3,1611.0,4718.0,uninj,D,VLMC,VLMC
CELL.2783,CELL.2783,0,Injury_20DPI_rep3_SS200000147BL_B5,2783,2,1607.0,639.0,uninj,V,CCKIN,CCKIN
CELL.2784,CELL.2784,0,Injury_20DPI_rep3_SS200000147BL_B5,2784,2,1612.0,713.0,uninj,V,CCKIN,CCKIN
CELL.2785,CELL.2785,0,Injury_20DPI_rep3_SS200000147BL_B5,2785,2,1611.0,1152.0,uninj,V,CCKIN,CCKIN
CELL.2786,CELL.2786,5,Injury_20DPI_rep3_SS200000147BL_B5,2786,8,1617.0,4390.0,uninj,D,DPEX,DPEX
CELL.2787,CELL.2787,0,Injury_20DPI_rep3_SS200000147BL_B5,2787,2,1615.0,666.0,uninj,V,CCKIN,CCKIN
CELL.2788,CELL.2788,3,Injury_20DPI_rep3_SS200000147BL_B5,2788,1,1613.0,1359.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2789,CELL.2789,0,Injury_20DPI_rep3_SS200000147BL_B5,2789,2,1609.0,1065.0,uninj,V,CCKIN,CCKIN
CELL.2791,CELL.2791,1,Injury_20DPI_rep3_SS200000147BL_B5,2791,0,1615.0,3915.0,uninj,D,DIPC,TLNBL
CELL.2792,CELL.2792,5,Injury_20DPI_rep3_SS200000147BL_B5,2792,8,1619.0,4356.0,uninj,D,DPEX,DPEX
CELL.2793,CELL.2793,0,Injury_20DPI_rep3_SS200000147BL_B5,2793,2,1619.0,755.0,uninj,V,CCKIN,CCKIN
CELL.2795,CELL.2795,5,Injury_20DPI_rep3_SS200000147BL_B5,2795,8,1616.0,4436.0,uninj,D,DPEX,DPEX
CELL.2796,CELL.2796,0,Injury_20DPI_rep3_SS200000147BL_B5,2796,2,1617.0,981.0,uninj,V,CCKIN,CCKIN
CELL.2797,CELL.2797,3,Injury_20DPI_rep3_SS200000147BL_B5,2797,1,1618.0,1283.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2798,CELL.2798,1,Injury_20DPI_rep3_SS200000147BL_B5,2798,3,1619.0,1593.0,uninj,V,VLMC,VLMC
CELL.2799,CELL.2799,1,Injury_20DPI_rep3_SS200000147BL_B5,2799,3,1622.0,1648.0,uninj,V,VLMC,VLMC
CELL.2800,CELL.2800,6,Injury_20DPI_rep3_SS200000147BL_B5,2800,5,1612.0,4046.0,uninj,D,WNTRGC,WNTEGC
CELL.2801,CELL.2801,2,Injury_20DPI_rep3_SS200000147BL_B5,2801,2,1620.0,933.0,uninj,V,CCKIN,CCKIN
CELL.2802,CELL.2802,0,Injury_20DPI_rep3_SS200000147BL_B5,2802,2,1619.0,1015.0,uninj,V,CCKIN,CCKIN
CELL.2803,CELL.2803,3,Injury_20DPI_rep3_SS200000147BL_B5,2803,1,1619.0,1239.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2804,CELL.2804,5,Injury_20DPI_rep3_SS200000147BL_B5,2804,10,1623.0,4546.0,uninj,D,DPEX,DPEX
CELL.2807,CELL.2807,5,Injury_20DPI_rep3_SS200000147BL_B5,2807,8,1626.0,4327.0,uninj,D,DPEX,DPEX
CELL.2808,CELL.2808,2,Injury_20DPI_rep3_SS200000147BL_B5,2808,7,1628.0,622.0,uninj,V,CMPN,CMPN
CELL.2809,CELL.2809,1,Injury_20DPI_rep3_SS200000147BL_B5,2809,3,1636.0,1542.0,uninj,V,VLMC,VLMC
CELL.2810,CELL.2810,5,Injury_20DPI_rep3_SS200000147BL_B5,2810,8,1625.0,4274.0,uninj,D,DPEX,DPEX
CELL.2811,CELL.2811,5,Injury_20DPI_rep3_SS200000147BL_B5,2811,8,1629.0,4496.0,uninj,D,DPEX,DPEX
CELL.2812,CELL.2812,5,Injury_20DPI_rep3_SS200000147BL_B5,2812,8,1625.0,4166.0,uninj,D,DPEX,DPEX
CELL.2813,CELL.2813,0,Injury_20DPI_rep3_SS200000147BL_B5,2813,2,1624.0,806.0,uninj,V,CCKIN,CCKIN
CELL.2814,CELL.2814,5,Injury_20DPI_rep3_SS200000147BL_B5,2814,8,1626.0,4189.0,uninj,D,DPEX,DPEX
CELL.2815,CELL.2815,6,Injury_20DPI_rep3_SS200000147BL_B5,2815,5,1617.0,3989.0,uninj,D,WNTRGC,WNTEGC
CELL.2816,CELL.2816,3,Injury_20DPI_rep3_SS200000147BL_B5,2816,1,1638.0,1201.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2817,CELL.2817,3,Injury_20DPI_rep3_SS200000147BL_B5,2817,1,1629.0,1420.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2818,CELL.2818,3,Injury_20DPI_rep3_SS200000147BL_B5,2818,1,1625.0,1457.0,uninj,V,SFRPRGC,SFRPEGC
CELL.2819,CELL.2819,2,Injury_20DPI_rep3_SS200000147BL_B5,2819,15,1639.0,684.0,uninj,V,CMPN,CMPN
CELL.2821,CELL.2821,3,Injury_20DPI_rep3_SS200000147BL_B5,2821,1,1621.0,3949.0,uninj,D,SFRPRGC,SFRPEGC
