X,CellID,Batch,Annotation,cell_id
CELL.2069,CELL.2069,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2069
CELL.2071,CELL.2071,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2071
CELL.2072,CELL.2072,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2072
CELL.2073,CELL.2073,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2073
CELL.2074,CELL.2074,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2074
CELL.2075,CELL.2075,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2075
CELL.2076,CELL.2076,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2076
CELL.2077,CELL.2077,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2077
CELL.2078,CELL.2078,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2078
CELL.2079,CELL.2079,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2079
CELL.2080,CELL.2080,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2080
CELL.2081,CELL.2081,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2081
CELL.2082,CELL.2082,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2082
CELL.2083,CELL.2083,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2083
CELL.2084,CELL.2084,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2084
CELL.2085,CELL.2085,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2085
CELL.2086,CELL.2086,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2086
CELL.2087,CELL.2087,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2087
CELL.2088,CELL.2088,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2088
CELL.2089,CELL.2089,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2089
CELL.2090,CELL.2090,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2090
CELL.2091,CELL.2091,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2091
CELL.2092,CELL.2092,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2092
CELL.2093,CELL.2093,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2093
CELL.2094,CELL.2094,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2094
CELL.2095,CELL.2095,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2095
CELL.2096,CELL.2096,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2096
CELL.2097,CELL.2097,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2097
CELL.2098,CELL.2098,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2098
CELL.2099,CELL.2099,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2099
CELL.2100,CELL.2100,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2100
CELL.2101,CELL.2101,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2101
CELL.2102,CELL.2102,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2102
CELL.2103,CELL.2103,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2103
CELL.2104,CELL.2104,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2104
CELL.2105,CELL.2105,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2105
CELL.2107,CELL.2107,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2107
CELL.2108,CELL.2108,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2108
CELL.2109,CELL.2109,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2109
CELL.2110,CELL.2110,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2110
CELL.2111,CELL.2111,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2111
CELL.2112,CELL.2112,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2112
CELL.2113,CELL.2113,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2113
CELL.2114,CELL.2114,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2114
CELL.2115,CELL.2115,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2115
CELL.2116,CELL.2116,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2116
CELL.2117,CELL.2117,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2117
CELL.2119,CELL.2119,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2119
CELL.2120,CELL.2120,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2120
CELL.2121,CELL.2121,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2121
CELL.2122,CELL.2122,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2122
CELL.2123,CELL.2123,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2123
CELL.2124,CELL.2124,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2124
CELL.2125,CELL.2125,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2125
CELL.2126,CELL.2126,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2126
CELL.2127,CELL.2127,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2127
CELL.2128,CELL.2128,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2128
CELL.2129,CELL.2129,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2129
CELL.2131,CELL.2131,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2131
CELL.2132,CELL.2132,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2132
CELL.2133,CELL.2133,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2133
CELL.2134,CELL.2134,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2134
CELL.2135,CELL.2135,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2135
CELL.2137,CELL.2137,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2137
CELL.2138,CELL.2138,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2138
CELL.2139,CELL.2139,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2139
CELL.2140,CELL.2140,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2140
CELL.2141,CELL.2141,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2141
CELL.2142,CELL.2142,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2142
CELL.2143,CELL.2143,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2143
CELL.2144,CELL.2144,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2144
CELL.2145,CELL.2145,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2145
CELL.2146,CELL.2146,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2146
CELL.2147,CELL.2147,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2147
CELL.2148,CELL.2148,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2148
CELL.2149,CELL.2149,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2149
CELL.2150,CELL.2150,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2150
CELL.2151,CELL.2151,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2151
CELL.2152,CELL.2152,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2152
CELL.2153,CELL.2153,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2153
CELL.2154,CELL.2154,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2154
CELL.2155,CELL.2155,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2155
CELL.2156,CELL.2156,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2156
CELL.2157,CELL.2157,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2157
CELL.2158,CELL.2158,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2158
CELL.2159,CELL.2159,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2159
CELL.2160,CELL.2160,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2160
CELL.2161,CELL.2161,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2161
CELL.2162,CELL.2162,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2162
CELL.2163,CELL.2163,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2163
CELL.2164,CELL.2164,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2164
CELL.2165,CELL.2165,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2165
CELL.2166,CELL.2166,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2166
CELL.2167,CELL.2167,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2167
CELL.2168,CELL.2168,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2168
CELL.2169,CELL.2169,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2169
CELL.2170,CELL.2170,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2170
CELL.2171,CELL.2171,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2171
CELL.2174,CELL.2174,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2174
CELL.2175,CELL.2175,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2175
CELL.2176,CELL.2176,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2176
CELL.2178,CELL.2178,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2178
CELL.2180,CELL.2180,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2180
CELL.2181,CELL.2181,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2181
CELL.2182,CELL.2182,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2182
CELL.2183,CELL.2183,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2183
CELL.2184,CELL.2184,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2184
CELL.2185,CELL.2185,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2185
CELL.2186,CELL.2186,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2186
CELL.2187,CELL.2187,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2187
CELL.2188,CELL.2188,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2188
CELL.2189,CELL.2189,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2189
CELL.2190,CELL.2190,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2190
CELL.2191,CELL.2191,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SSTIN,2191
CELL.2192,CELL.2192,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2192
CELL.2193,CELL.2193,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2193
CELL.2194,CELL.2194,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2194
CELL.2195,CELL.2195,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2195
CELL.2196,CELL.2196,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2196
CELL.2199,CELL.2199,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2199
CELL.2200,CELL.2200,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2200
CELL.2201,CELL.2201,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2201
CELL.2202,CELL.2202,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2202
CELL.2203,CELL.2203,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2203
CELL.2204,CELL.2204,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2204
CELL.2205,CELL.2205,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2205
CELL.2206,CELL.2206,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2206
CELL.2208,CELL.2208,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2208
CELL.2209,CELL.2209,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2209
CELL.2210,CELL.2210,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2210
CELL.2211,CELL.2211,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2211
CELL.2212,CELL.2212,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2212
CELL.2213,CELL.2213,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2213
CELL.2214,CELL.2214,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2214
CELL.2215,CELL.2215,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2215
CELL.2216,CELL.2216,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2216
CELL.2217,CELL.2217,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2217
CELL.2218,CELL.2218,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2218
CELL.2219,CELL.2219,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2219
CELL.2220,CELL.2220,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2220
CELL.2222,CELL.2222,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2222
CELL.2223,CELL.2223,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2223
CELL.2224,CELL.2224,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2224
CELL.2225,CELL.2225,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2225
CELL.2226,CELL.2226,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2226
CELL.2227,CELL.2227,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2227
CELL.2228,CELL.2228,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2228
CELL.2229,CELL.2229,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2229
CELL.2230,CELL.2230,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2230
CELL.2231,CELL.2231,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2231
CELL.2232,CELL.2232,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2232
CELL.2233,CELL.2233,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2233
CELL.2234,CELL.2234,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2234
CELL.2235,CELL.2235,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2235
CELL.2236,CELL.2236,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2236
CELL.2237,CELL.2237,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2237
CELL.2238,CELL.2238,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2238
CELL.2239,CELL.2239,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2239
CELL.2240,CELL.2240,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2240
CELL.2241,CELL.2241,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2241
CELL.2242,CELL.2242,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2242
CELL.2243,CELL.2243,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2243
CELL.2244,CELL.2244,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2244
CELL.2245,CELL.2245,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2245
CELL.2246,CELL.2246,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2246
CELL.2247,CELL.2247,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2247
CELL.2248,CELL.2248,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2248
CELL.2250,CELL.2250,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2250
CELL.2251,CELL.2251,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2251
CELL.2252,CELL.2252,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2252
CELL.2253,CELL.2253,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2253
CELL.2254,CELL.2254,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2254
CELL.2255,CELL.2255,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2255
CELL.2256,CELL.2256,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2256
CELL.2257,CELL.2257,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2257
CELL.2258,CELL.2258,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2258
CELL.2259,CELL.2259,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2259
CELL.2260,CELL.2260,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2260
CELL.2262,CELL.2262,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2262
CELL.2263,CELL.2263,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2263
CELL.2264,CELL.2264,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2264
CELL.2265,CELL.2265,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2265
CELL.2266,CELL.2266,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2266
CELL.2267,CELL.2267,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2267
CELL.2268,CELL.2268,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2268
CELL.2269,CELL.2269,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2269
CELL.2270,CELL.2270,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2270
CELL.2271,CELL.2271,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2271
CELL.2272,CELL.2272,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2272
CELL.2273,CELL.2273,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2273
CELL.2274,CELL.2274,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2274
CELL.2275,CELL.2275,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2275
CELL.2276,CELL.2276,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2276
CELL.2277,CELL.2277,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2277
CELL.2278,CELL.2278,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2278
CELL.2279,CELL.2279,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2279
CELL.2280,CELL.2280,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2280
CELL.2282,CELL.2282,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2282
CELL.2283,CELL.2283,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2283
CELL.2284,CELL.2284,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2284
CELL.2285,CELL.2285,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2285
CELL.2287,CELL.2287,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2287
CELL.2288,CELL.2288,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,WNTEGC,2288
CELL.2290,CELL.2290,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2290
CELL.2291,CELL.2291,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2291
CELL.2292,CELL.2292,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2292
CELL.2293,CELL.2293,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2293
CELL.2294,CELL.2294,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,2294
CELL.2295,CELL.2295,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2295
CELL.2297,CELL.2297,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2297
CELL.2298,CELL.2298,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SSTIN,2298
CELL.2299,CELL.2299,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2299
CELL.2300,CELL.2300,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2300
CELL.2301,CELL.2301,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2301
CELL.2302,CELL.2302,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2302
CELL.2304,CELL.2304,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2304
CELL.2305,CELL.2305,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2305
CELL.2306,CELL.2306,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2306
CELL.2307,CELL.2307,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2307
CELL.2308,CELL.2308,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2308
CELL.2311,CELL.2311,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2311
CELL.2312,CELL.2312,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2312
CELL.2313,CELL.2313,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,2313
CELL.2314,CELL.2314,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2314
CELL.2316,CELL.2316,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2316
CELL.2317,CELL.2317,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,TLNBL,2317
CELL.2318,CELL.2318,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2318
CELL.2319,CELL.2319,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2319
CELL.2320,CELL.2320,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2320
CELL.2321,CELL.2321,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2321
CELL.2322,CELL.2322,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,2322
CELL.2323,CELL.2323,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2323
CELL.2324,CELL.2324,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2324
CELL.2325,CELL.2325,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2325
CELL.2326,CELL.2326,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2326
CELL.2327,CELL.2327,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2327
CELL.2328,CELL.2328,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2328
CELL.2329,CELL.2329,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2329
CELL.2330,CELL.2330,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2330
CELL.2331,CELL.2331,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2331
CELL.2332,CELL.2332,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SFRPEGC,2332
CELL.2333,CELL.2333,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2333
CELL.2334,CELL.2334,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2334
CELL.2335,CELL.2335,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2335
CELL.2336,CELL.2336,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2336
CELL.2337,CELL.2337,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2337
CELL.2338,CELL.2338,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2338
CELL.2339,CELL.2339,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2339
CELL.2340,CELL.2340,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2340
CELL.2342,CELL.2342,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CCKIN,2342
CELL.2343,CELL.2343,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,2343
CELL.2344,CELL.2344,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,2344
CELL.2345,CELL.2345,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,MSN,2345
